fid,class,natura_cod,status,area
71789,forest,,,"204.689946"
71850,forest,,,"226.622307"
71854,forest,,,"8031.80972"
71862,forest,,,"8302.39420"
71870,forest,,,"306.177633"
71880,forest,,,"1071.46698"
71906,forest,,,"43328.0790"
71940,forest,,,"69334.5651"
71944,forest,,,"325.324391"
72174,forest,,,"615.490014"
72177,forest,,,"490.109969"
72182,forest,,,"2579.28900"
72191,forest,,,"256.607719"
72193,forest,,,"17998.0736"
72214,forest,,,"0.18602085"
72271,forest,,,"2263.69608"
72321,forest,,,"281.518331"
72345,forest,,,"561.334376"
72371,forest,,,"1743.21734"
72439,forest,,,"1604.63408"
72486,forest,,,"329.520705"
72548,forest,,,"340.229593"
72558,forest,,,"575.918895"
72597,forest,,,"2217.19609"
72640,forest,,,"421.251884"
72665,forest,,,"26795.8900"
72680,forest,,,"373.456911"
72695,forest,,,"1071.77489"
72700,forest,,,"18398.9233"
72805,forest,,,"218.966490"
72806,forest,,,"57557.1299"
72815,forest,,,"5352.57058"
72902,forest,,,"877.153947"
72941,forest,,,"1675.70329"
73123,forest,,,"6739.44297"
73188,forest,,,"913.769137"
73192,forest,,,"2445.26506"
73210,forest,,,"373.219389"
73232,forest,,,"18160.2818"
73250,forest,,,"332.335759"
73305,forest,,,"580.976739"
73358,forest,,,"3046.40295"
73361,forest,,,"1400.11562"
73400,forest,,,"4205.85693"
73416,forest,,,"1382.78082"
73478,forest,,,"473.164351"
73508,forest,,,"3046.86964"
73520,forest,,,"4656.66960"
73532,forest,,,"237.871119"
73566,forest,,,"348.135042"
73616,forest,,,"916.088096"
73668,forest,,,"30478.1594"
73683,forest,,,"462.358758"
73759,forest,,,"877.625695"
73835,forest,,,"644.878833"
73843,forest,,,"15443.8195"
73889,forest,,,"483.504747"
73906,forest,,,"5541.34263"
73929,forest,,,"543.884190"
73968,forest,,,"1989.75815"
73992,forest,,,"10277.8565"
74005,forest,,,"209.346968"
74010,forest,,,"2151.12831"
74024,forest,,,"170.111334"
74053,forest,,,"45.6594394"
74245,forest,,,"3639.26857"
74276,forest,,,"262.620140"
74327,forest,,,"699.398743"
74442,forest,,,"13690.2363"
74446,forest,,,"16513.8654"
74565,forest,,,"15542.2754"
74641,forest,,,"537.643689"
74648,forest,,,"982.770399"
74667,forest,,,"509.212670"
74671,forest,,,"492.454694"
74686,forest,,,"1628.74925"
74767,forest,,,"1364.72818"
74785,forest,,,"147.114178"
74812,forest,,,"416.876797"
75013,forest,,,"926.313466"
75038,forest,,,"5331.67730"
75054,forest,,,"1200.36636"
75057,forest,,,"6333.85737"
75068,forest,,,"202.211983"
75140,forest,,,"3002.80045"
75160,forest,,,"108.625790"
75211,forest,,,"181.719308"
75218,forest,,,"34069.7148"
75246,forest,,,"1704.06419"
75253,forest,,,"8637.55126"
75256,forest,,,"1094.54038"
75268,forest,,,"1661.97339"
75294,forest,,,"763.106963"
75312,forest,,,"24134.2682"
75329,forest,,,"3528.70704"
75341,forest,,,"433.361127"
75453,forest,,,"287.638644"
75496,forest,,,"1037.17211"
75540,forest,,,"656.773502"
75566,forest,,,"846.941879"
75637,forest,,,"2651.52076"
75656,forest,,,"27348.9412"
75662,forest,,,"5848.55046"
75719,forest,,,"12505.5957"
75773,forest,,,"1127.62426"
75778,forest,,,"1592.92316"
75807,forest,,,"712.011146"
75862,forest,,,"298.869462"
75945,forest,,,"276.071020"
76009,forest,,,"1581.50078"
76048,forest,,,"3538.71196"
76057,forest,,,"1024.63774"
76115,forest,,,"1591.63175"
76173,forest,,,"21207.5668"
76198,forest,,,"599.402950"
76263,forest,,,"5342.02402"
76364,forest,,,"14.6782794"
76425,forest,,,"10092.1933"
76444,forest,,,"188.392123"
76620,forest,,,"200.690589"
76638,forest,,,"22360.7776"
77085,forest,,,"107.445841"
77668,forest,,,"1669.85069"
78105,forest,,,"583.406926"
78465,forest,,,"725.063270"
78475,forest,,,"834.903630"
78535,forest,,,"400.497117"
78584,forest,,,"186.186786"
78709,forest,,,"1282.71184"
78790,forest,,,"346.691614"
78793,forest,,,"876.713339"
78925,forest,,,"75051.2184"
78988,forest,,,"614.333848"
79008,forest,,,"2483.63811"
79035,forest,,,"769.606119"
79056,forest,,,"1775.21888"
79059,forest,,,"961.784059"
79091,forest,,,"928.395331"
79149,forest,,,"798.322397"
79311,forest,,,"60643.3666"
79393,forest,,,"1210.07900"
79405,forest,,,"7542.29731"
79440,forest,,,"1356.40876"
79504,forest,,,"154110.792"
79527,forest,,,"19279.6826"
79733,forest,,,"1174.05935"
79751,forest,,,"772.393840"
79784,forest,,,"24280.2982"
79827,forest,,,"7440.58688"
79830,forest,,,"21043.9155"
79835,forest,,,"271.908128"
79852,forest,,,"4204.21150"
79874,forest,,,"148.094332"
79887,forest,,,"237.247305"
79891,forest,,,"585.649922"
79939,forest,,,"563.144552"
80011,forest,,,"90427.4348"
80022,forest,,,"209.997988"
80033,forest,,,"302.626647"
80035,forest,,,"2527.07509"
80053,forest,,,"303.324751"
80068,forest,,,"264.793811"
80092,forest,,,"7757.66753"
80111,forest,,,"1107.29092"
80112,forest,,,"300.848086"
80129,forest,,,"2316.42182"
80133,forest,,,"182.019332"
80135,forest,,,"755.206454"
80186,forest,,,"7523.58705"
80188,forest,,,"256.115330"
80197,forest,,,"11.6521531"
80213,forest,,,"687.635953"
80233,forest,,,"352.125321"
80303,forest,,,"1334.96779"
80335,forest,,,"3388.73741"
80370,forest,,,"11635.9779"
80371,forest,,,"261.568479"
80632,forest,,,"4431.90327"
80707,forest,,,"179.013102"
80708,forest,,,"2.38152136"
80709,forest,,,"1461.52492"
80842,forest,,,"809.873335"
80944,forest,,,"8233.08245"
81000,forest,,,"2292.82927"
81167,forest,,,"717.877417"
81210,forest,,,"2027.82189"
81240,forest,,,"2704.87692"
81257,forest,,,"1486.52155"
81270,forest,,,"565.229785"
81331,forest,,,"3492.83303"
81333,forest,,,"263.246765"
81343,forest,,,"1049.62998"
81344,forest,,,"1389.12265"
81360,forest,,,"1582.60723"
81385,forest,,,"1361.99074"
81478,forest,,,"647.699049"
81509,forest,,,"0.76904212"
81535,forest,,,"83246.1588"
81546,forest,,,"260.896753"
81639,forest,,,"4440.50122"
81654,forest,,,"16836.2564"
81723,forest,,,"3614.96967"
81754,forest,,,"1609.07357"
81758,forest,,,"1717.15845"
81789,forest,,,"2464.20455"
81805,forest,,,"1808.97156"
81806,forest,,,"4711.33819"
81819,forest,,,"108747.581"
81851,forest,,,"495.464529"
81861,forest,,,"4610.15106"
81969,forest,,,"30758.2117"
81976,forest,,,"135425.650"
82061,forest,,,"1415.22690"
82062,forest,,,"25456.8106"
82064,forest,,,"30247.4533"
82074,forest,,,"60604.7316"
82088,forest,,,"698.934598"
82089,forest,,,"10962.0179"
82093,forest,,,"47160.4009"
82096,forest,,,"2379.52019"
82119,forest,,,"2888.59422"
82126,forest,,,"1959.00285"
82138,forest,,,"9601.57622"
82140,forest,,,"6534.01129"
82146,forest,,,"232.718879"
82243,forest,,,"1111.64461"
82245,forest,,,"828.173926"
82246,forest,,,"14295.5953"
82258,forest,,,"309.103481"
82341,forest,,,"73352.9872"
82342,forest,,,"1491.22454"
82343,forest,,,"289.444543"
82344,forest,,,"3604.90245"
82353,forest,,,"24389.2990"
82371,forest,,,"8276.78740"
82413,forest,,,"1047.41518"
82444,forest,,,"12103.5962"
82447,forest,,,"1544.80005"
82449,forest,,,"374.740688"
82450,forest,,,"7071.53458"
82451,forest,,,"377.533977"
82503,forest,,,"8848.79920"
82553,forest,,,"711.464805"
82559,forest,,,"25372.7411"
82599,forest,,,"5521.15253"
82659,forest,,,"639.206080"
82679,forest,,,"3881.81696"
82694,forest,,,"6828.37559"
82708,forest,,,"762.902405"
82710,forest,,,"1924.29288"
82711,forest,,,"592.274616"
82742,forest,,,"3087.09735"
82763,forest,,,"1291.82052"
82766,forest,,,"3041.18449"
82780,forest,,,"4933.67073"
82787,forest,,,"6836.36562"
82790,forest,,,"411.561163"
82809,forest,,,"1198.27604"
82811,forest,,,"29081.5521"
83089,forest,,,"2642.53418"
83093,forest,,,"255.044100"
83096,forest,,,"4172.29875"
83135,forest,,,"968.568218"
83167,forest,,,"529.150831"
83178,forest,,,"30996.0447"
83179,forest,,,"2631.27509"
83180,forest,,,"8359.87731"
83206,forest,,,"194.298021"
83218,forest,,,"11754.2032"
83241,forest,,,"4214.64503"
83253,forest,,,"109748.937"
83269,forest,,,"13561.2999"
83273,forest,,,"11805.3104"
83276,forest,,,"3481.09724"
83278,forest,,,"1547.63178"
83308,forest,,,"16633.2456"
83311,forest,,,"164274.632"
83339,forest,,,"14933.9596"
83344,forest,,,"178.235664"
83368,forest,,,"12442.1035"
83369,forest,,,"7448.29790"
83370,forest,,,"42206.8777"
83371,forest,,,"294.329193"
