fid,class,natura_cod,status,area
71791,forest,,,"2402.61788"
71811,forest,,,"1584.03284"
71850,forest,,,"50021.8110"
71851,forest,,,"4984.77955"
71854,forest,,,"4209832.84"
71906,forest,,,"498935.868"
71931,forest,,,"2358.64473"
72029,forest,,,"4829.67847"
72039,forest,,,"441.569396"
72097,forest,,,"1.04559660"
72113,forest,,,"0.10155311"
72184,forest,,,"204.366287"
72254,forest,,,"9586.15681"
72270,forest,,,"107.068724"
72318,forest,,,"1677.04783"
72321,forest,,,"206688.655"
72358,forest,,,"902.305726"
72371,forest,,,"487236.775"
72400,forest,,,"1152.36734"
72445,forest,,,"3341.35115"
72495,forest,,,"238665.237"
72589,forest,,,"0.73930271"
72606,forest,,,"5062.89398"
72665,forest,,,"8091500.67"
72710,forest,,,"477.520142"
72718,forest,,,"1718.60071"
72760,forest,,,"1347.36401"
72794,forest,,,"108.403128"
72815,forest,,,"239037.382"
73130,forest,,,"1301.49204"
73143,forest,,,"3753.50622"
73156,forest,,,"1739.03895"
73332,forest,,,"206.891012"
73361,forest,,,"585216.207"
73378,forest,,,"4124.40319"
73496,forest,,,"2828.71024"
73509,forest,,,"844.291602"
73519,forest,,,"384.626834"
73570,forest,,,"231.751997"
73602,forest,,,"155.447474"
73610,forest,,,"10139.8468"
73705,forest,,,"129.336788"
73906,forest,,,"19775.2762"
73949,forest,,,"1631.94055"
74002,forest,,,"283570.314"
74030,forest,,,"4476.84046"
74169,forest,,,"116879.224"
74249,forest,,,"411.981194"
74503,forest,,,"10334.0318"
74569,forest,,,"4337.76023"
74634,forest,,,"7059.01093"
74649,forest,,,"705.230386"
74673,forest,,,"1771.20034"
74683,forest,,,"1263.95810"
74756,forest,,,"282.851617"
74930,forest,,,"107.923085"
75009,forest,,,"2017.82536"
75013,forest,,,"9852.38476"
75039,forest,,,"117.183397"
75249,forest,,,"900.011488"
75393,forest,,,"46.4723535"
75456,forest,,,"1477.84494"
75719,forest,,,"5597512.33"
75871,forest,,,"171.944132"
76015,forest,,,"2920.29183"
76031,forest,,,"690.912161"
76128,forest,,,"5714.99256"
76138,forest,,,"3948.49941"
76173,forest,,,"82491.3850"
