fid,class,natura_cod,status,area
71789,forest,,,"102.308917"
71791,forest,,,"2700.39919"
71792,forest,,,"34576.5331"
71799,forest,,,"8819.68438"
71800,forest,,,"253.011009"
71801,forest,,,"78.7610110"
71811,forest,,,"1026.29038"
71850,forest,,,"207283.761"
71851,forest,,,"514260.933"
71854,forest,,,"421784.335"
71855,forest,,,"999.178635"
71862,forest,,,"36314.2863"
71886,forest,,,"4279.11769"
71887,forest,,,"3022.87940"
71892,forest,,,"1342.39276"
71897,forest,,,"1101.52228"
71906,forest,,,"537933.395"
71909,forest,,,"276.519526"
71931,forest,,,"70.7898660"
71940,forest,,,"141934.247"
71956,forest,,,"18797.3614"
72007,forest,,,"259.785566"
72015,forest,,,"1727.20011"
72022,forest,,,"13556.4507"
72025,forest,,,"3382.05671"
72029,forest,,,"30489.4800"
72039,forest,,,"107244.089"
72053,forest,,,"428.525418"
72077,forest,,,"1912.97013"
72091,forest,,,"343.821216"
72094,forest,,,"531.263826"
72096,forest,,,"305.614083"
72105,forest,,,"1869.10384"
72113,forest,,,"0.77569204"
72115,forest,,,"51197.4547"
72132,forest,,,"3.49331831"
72136,forest,,,"6.63260001"
72154,forest,,,"967.441830"
72174,forest,,,"1238.71535"
72182,forest,,,"248.846489"
72184,forest,,,"15970.0359"
72191,forest,,,"900.439161"
72210,forest,,,"10815.3987"
72214,forest,,,"211.495673"
72229,forest,,,"6355.83326"
72233,forest,,,"789.454399"
72239,forest,,,"1944.08973"
72254,forest,,,"10966.1112"
72271,forest,,,"3068.90555"
72277,forest,,,"305.604648"
72307,forest,,,"0.01861427"
72321,forest,,,"32848.4533"
72325,forest,,,"1234.34091"
72335,forest,,,"5074.91271"
72342,forest,,,"473.256026"
72344,forest,,,"59118.0068"
72345,forest,,,"1314.54338"
72365,forest,,,"2875.91440"
72371,forest,,,"86499.1047"
72389,forest,,,"5120.39214"
72398,forest,,,"4598.42699"
72406,forest,,,"4014.57100"
72431,forest,,,"107155.281"
72458,forest,,,"4137.86300"
72464,forest,,,"2332.64523"
72469,forest,,,"2901.95190"
72495,forest,,,"79444.6136"
72501,forest,,,"1834.70076"
72549,forest,,,"756.597635"
72567,forest,,,"1663.27099"
72586,forest,,,"4348.41350"
72591,forest,,,"15947.1405"
72603,forest,,,"6667.08205"
72606,forest,,,"857.491200"
72609,forest,,,"4814.51373"
72634,forest,,,"13471.2871"
72665,forest,,,"2046616.93"
72680,forest,,,"6223.04049"
72700,forest,,,"1368.34703"
72724,forest,,,"1960.83065"
72739,forest,,,"496.523738"
72746,forest,,,"196.921885"
72760,forest,,,"347.968994"
72764,forest,,,"365.756665"
72767,forest,,,"2373.22075"
72785,forest,,,"17552.1062"
72786,forest,,,"8870.78704"
72794,forest,,,"10604.2806"
72801,forest,,,"1201.22874"
72803,forest,,,"1024.34890"
72805,forest,,,"2702.53285"
72815,forest,,,"78700.0478"
72836,forest,,,"142.632357"
72863,forest,,,"4736.93074"
72932,forest,,,"4145.46642"
72941,forest,,,"1215.70719"
72943,forest,,,"6274.78408"
72973,forest,,,"6447.87039"
72992,forest,,,"279.959445"
72993,forest,,,"10275.1081"
73051,forest,,,"931.002220"
73066,forest,,,"675.771755"
73075,forest,,,"2235.23856"
73079,forest,,,"37542.2757"
73092,forest,,,"2928.00518"
73109,forest,,,"997.573240"
73110,forest,,,"4049.76503"
73116,forest,,,"400.144852"
73120,forest,,,"18836.3032"
73123,forest,,,"10721.8675"
73137,forest,,,"7.36236247"
