fid,class,natura_cod,status,area
71984,forest,,,"593.111183"
72090,forest,,,"94007.3758"
73260,forest,,,"516.655436"
74037,forest,,,"9766.38718"
74183,forest,,,"28642.2196"
75908,forest,,,"2385.73699"
75934,forest,,,"508.064354"
76030,forest,,,"145.698435"
76466,forest,,,"2728.93107"
76477,forest,,,"383.309985"
76486,forest,,,"231.489820"
76509,forest,,,"674.754622"
76525,forest,,,"190.998284"
76533,forest,,,"213.036028"
76534,forest,,,"6107.02351"
76551,forest,,,"1597.32504"
76563,forest,,,"1162.70379"
76573,forest,,,"1261.71121"
76606,forest,,,"3771.65411"
76612,forest,,,"267.436496"
76613,forest,,,"1704.35946"
76622,forest,,,"0.29171939"
76639,forest,,,"5807.71822"
76673,forest,,,"189.956833"
76681,forest,,,"535.537904"
76686,forest,,,"110.880327"
76690,forest,,,"518.922223"
76705,forest,,,"362.508144"
76742,forest,,,"16572.1793"
76749,forest,,,"4204.21600"
76793,forest,,,"474.704830"
76830,forest,,,"0.53489657"
76888,forest,,,"579.337673"
76941,forest,,,"3273.98245"
76946,forest,,,"797.442258"
76976,forest,,,"11392.5843"
76988,forest,,,"0.19555630"
76998,forest,,,"2.17763554"
77012,forest,,,"2659.06077"
77020,forest,,,"5004.14311"
77030,forest,,,"2530.79976"
77069,forest,,,"620.778807"
77074,forest,,,"5240.65717"
77080,forest,,,"148638.618"
77134,forest,,,"511.108148"
77138,forest,,,"897.033380"
77148,forest,,,"4800.78293"
77152,forest,,,"659.303644"
77162,forest,,,"1826.31391"
77164,forest,,,"1623.41409"
77204,forest,,,"62593.6571"
77205,forest,,,"858.365867"
77243,forest,,,"2178.90809"
77245,forest,,,"1483.70899"
77252,forest,,,"7.07659231"
77272,forest,,,"252.695989"
77299,forest,,,"1235.43959"
77302,forest,,,"2.39914648"
77327,forest,,,"106272.770"
77347,forest,,,"2136.70359"
77363,forest,,,"1746.32482"
77373,forest,,,"4273.38280"
77381,forest,,,"259.614671"
77391,forest,,,"22126.1860"
77397,forest,,,"690.281178"
77400,forest,,,"185.807206"
77403,forest,,,"2170.13752"
77411,forest,,,"1044.58428"
77412,forest,,,"199.441866"
77414,forest,,,"0.06532241"
77433,forest,,,"331.447824"
77503,forest,,,"856.695515"
77523,forest,,,"29549.8058"
77530,forest,,,"1312.20565"
77531,forest,,,"691.178127"
77541,forest,,,"5274.32419"
77542,forest,,,"120509.665"
77551,forest,,,"430.548896"
77575,forest,,,"18787.3066"
77610,forest,,,"287.224700"
77617,forest,,,"7848.74404"
77644,forest,,,"10716.5271"
77672,forest,,,"16406.1527"
77675,forest,,,"11134.9544"
77681,forest,,,"9087.19448"
77693,forest,,,"111.656681"
77713,forest,,,"2935.76562"
77747,forest,,,"1455.73045"
77753,forest,,,"657.408323"
77768,forest,,,"1928.37092"
77771,forest,,,"901.121860"
77780,forest,,,"1410.60762"
77782,forest,,,"570.397508"
77852,forest,,,"1990.14127"
77857,forest,,,"2040.08995"
77877,forest,,,"1996.97471"
77878,forest,,,"5240.22092"
77895,forest,,,"2575.18879"
77925,forest,,,"195.947000"
77980,forest,,,"635.835078"
77987,forest,,,"9855.92134"
78003,forest,,,"319.999847"
78027,forest,,,"1253.28676"
78034,forest,,,"8467.62956"
78044,forest,,,"42464.9737"
78068,forest,,,"19251.2756"
78074,forest,,,"6190.64796"
78078,forest,,,"454.765345"
78080,forest,,,"1615.63540"
78090,forest,,,"236.125674"
78109,forest,,,"1275.61749"
78111,forest,,,"2955.12149"
78130,forest,,,"68.4027993"
78133,forest,,,"1034.79238"
78135,forest,,,"16.1418226"
78140,forest,,,"2.30886987"
78145,forest,,,"1872.05978"
78168,forest,,,"2717.34516"
78224,forest,,,"24988.1094"
78234,forest,,,"6424.59541"
78264,forest,,,"552.706045"
78280,forest,,,"1397.66782"
78293,forest,,,"24537.8978"
78303,forest,,,"4025.69586"
78327,forest,,,"335.192182"
78351,forest,,,"4404.45264"
78355,forest,,,"2185.83249"
78361,forest,,,"187.705615"
78368,forest,,,"930.614305"
78429,forest,,,"2538.57792"
78435,forest,,,"8411.71280"
78444,forest,,,"510.512362"
78467,forest,,,"1359.24542"
78504,forest,,,"831.673132"
78515,forest,,,"30937.9880"
78518,forest,,,"6253.42145"
78520,forest,,,"14912.9026"
78548,forest,,,"400.119287"
78551,forest,,,"2826.88196"
78554,forest,,,"667.381912"
78564,forest,,,"19784.9584"
78568,forest,,,"688.270544"
78570,forest,,,"679.226624"
78716,forest,,,"138.420478"
79607,forest,,,"2099.00417"
79622,forest,,,"10507.2610"
81463,forest,,,"78017.4170"
81464,forest,,,"236457.529"
81513,forest,,,"34331.8372"
81557,forest,,,"121794.285"
81558,forest,,,"13038.6399"
81584,forest,,,"278799.259"
81619,forest,,,"25128.4087"
81620,forest,,,"12164.5992"
81621,forest,,,"5273.23440"
81622,forest,,,"849.735674"
81624,forest,,,"28870.4414"
81626,forest,,,"14.4558753"
81629,forest,,,"40594.6812"
81631,forest,,,"160.217140"
81632,forest,,,"8938.77206"
81634,forest,,,"247.586842"
81635,forest,,,"4263.86199"
81732,forest,,,"425.865793"
81734,forest,,,"691.611917"
81772,forest,,,"9786.74497"
81947,forest,,,"432.071609"
81974,forest,,,"8992.02873"
82004,forest,,,"62634.2612"
82006,forest,,,"2512.26503"
82052,forest,,,"0.32664885"
82065,forest,,,"13332.8573"
82066,forest,,,"374.860758"
82103,forest,,,"870.983016"
82104,forest,,,"251.347732"
82113,forest,,,"30447.9410"
82159,forest,,,"4199.09376"
82176,forest,,,"0.17629630"
82304,forest,,,"880.565495"
82357,forest,,,"1958.71118"
82379,forest,,,"3295.84313"
82404,forest,,,"4043.51117"
82409,forest,,,"8976.39373"
82417,forest,,,"137051.470"
82425,forest,,,"23743.7182"
82427,forest,,,"647.713874"
82428,forest,,,"14288.2706"
82435,forest,,,"6363.86901"
82436,forest,,,"746.808390"
82458,forest,,,"28.4235649"
82505,forest,,,"3357.55798"
82529,forest,,,"68250.4199"
82572,forest,,,"1025.59064"
82608,forest,,,"1019.11443"
82623,forest,,,"13136.2386"
82649,forest,,,"1590.19484"
82702,forest,,,"36461.3493"
82724,forest,,,"240.689682"
82749,forest,,,"8817.24661"
82751,forest,,,"2292.64161"
82785,forest,,,"3500.85717"
82818,forest,,,"790.219523"
82856,forest,,,"936.426985"
82857,forest,,,"400.464480"
82861,forest,,,"1758.20087"
82863,forest,,,"27845.3611"
82866,forest,,,"2.14048139"
82872,forest,,,"10879.3448"
82873,forest,,,"27607.1795"
82885,forest,,,"1247.08200"
82891,forest,,,"11952.3100"
82894,forest,,,"13313.9216"
82907,forest,,,"422.620720"
82917,forest,,,"1250.18208"
82921,forest,,,"58290.5338"
82936,forest,,,"9882.43424"
82947,forest,,,"2491.42718"
82950,forest,,,"438.815655"
82951,forest,,,"3998.54697"
82952,forest,,,"4324.34275"
82955,forest,,,"2599.11292"
82961,forest,,,"35635.2896"
82967,forest,,,"1821.06909"
82986,forest,,,"1674.12168"
83000,forest,,,"2290.65109"
83031,forest,,,"341.066010"
83032,forest,,,"4616.87879"
83042,forest,,,"0.02605013"
83070,forest,,,"4476.84627"
83202,forest,,,"42983.1100"
83295,forest,,,"14643.4848"
83432,forest,,,"1108.93078"
83526,forest,,,"17634.4413"
83531,forest,,,"11631.9618"
83637,forest,,,"1185.93777"
83677,forest,,,"34949.7536"
83679,forest,,,"24700.8596"
83683,forest,,,"1570.30292"
83699,forest,,,"1169.03975"
83753,forest,,,"1077.02564"
83767,forest,,,"762.080746"
83772,forest,,,"7498.85514"
83784,forest,,,"2111.68944"
83785,forest,,,"1531.05380"
83786,forest,,,"923.902934"
83788,forest,,,"31599.9809"
83798,forest,,,"9436.50495"
83803,forest,,,"2953.73726"
83831,forest,,,"1028.99895"
83851,forest,,,"2291.42552"
83865,forest,,,"8.56334303"
83885,forest,,,"4858.16898"
83914,forest,,,"10082.7367"
83916,forest,,,"1999.79969"
83917,forest,,,"3129.74181"
83920,forest,,,"3398.24172"
83948,forest,,,"2322.26691"
83961,forest,,,"3563.47409"
83979,forest,,,"161.145412"
83980,forest,,,"3081.66656"
83991,forest,,,"3845.82435"
84026,forest,,,"222.915374"
84079,forest,,,"1246.93062"
84115,forest,,,"108598.307"
84116,forest,,,"5787.22697"
84117,forest,,,"13724.7661"
84118,forest,,,"3792.14531"
84121,forest,,,"996.155262"
84124,forest,,,"185.287011"
84153,forest,,,"8151.31541"
84155,forest,,,"15.7630659"
84164,forest,,,"132.019507"
84195,forest,,,"66183.9638"
84198,forest,,,"4197.67743"
84203,forest,,,"193.095372"
84209,forest,,,"232.415796"
84217,forest,,,"244.433708"
84219,forest,,,"10004.2783"
84220,forest,,,"35462.1961"
84228,forest,,,"293.887991"
84230,forest,,,"5158.51539"
84244,forest,,,"663.767623"
84301,forest,,,"3952.59085"
84339,forest,,,"11261.6931"
84402,forest,,,"258.716684"
84431,forest,,,"2225.38435"
84456,forest,,,"93619.9187"
84460,forest,,,"68475.9052"
84461,forest,,,"3285.54403"
84485,forest,,,"18347.0887"
84490,forest,,,"467.284957"
84491,forest,,,"13595.3961"
84509,perm,,,"39.4693613"
84542,perm,,,"152.005143"
84582,perm,,,"0.05854729"
84585,perm,,,"0.64115662"
84592,perm,,,"644.259524"
84594,perm,,,"110.600823"
84598,perm,,,"166.327596"
84603,perm,,,"14.0204105"
84665,perm,,,"0.11327337"
84774,perm,,,"5.03288645"
85112,perm,,,"122.465478"
85116,perm,,,"143.623429"
85117,perm,,,"76.9569806"
85127,perm,,,"65.7460632"
85128,perm,,,"402.927134"
85130,perm,,,"11.2118212"
85131,perm,,,"17.0468156"
86135,perm,,,"8.60944481"
86147,perm,,,"185.288321"
86226,perm,,,"29.1396755"
