fid,class,natura_cod,status,area
72090,forest,,,"136847.047"
72831,forest,,,"4.32555372"
74183,forest,,,"7486324.76"
76297,forest,,,"105324.449"
76463,forest,,,"82876.8916"
76466,forest,,,"485415.077"
76483,forest,,,"4930.68458"
76513,forest,,,"6978.24003"
76557,forest,,,"1754.14524"
76569,forest,,,"5345.66568"
76616,forest,,,"31187.5602"
76625,forest,,,"1674.40308"
76713,forest,,,"7603.36345"
76734,forest,,,"1.81945080"
76742,forest,,,"1141282.16"
76754,forest,,,"103.443657"
76782,forest,,,"641.616433"
76800,forest,,,"0.84975552"
76809,forest,,,"3672.87665"
76826,forest,,,"1878.63299"
76871,forest,,,"646.475369"
76900,forest,,,"0.31492570"
76977,forest,,,"1186.43404"
76981,forest,,,"3891.88647"
77009,forest,,,"421.413804"
77010,forest,,,"12.6384395"
77014,forest,,,"2304.96298"
77025,forest,,,"18.8314127"
77076,forest,,,"106.113352"
77105,forest,,,"10485.1403"
77135,forest,,,"1.75908266"
77195,forest,,,"29.4711373"
77205,forest,,,"23.7241782"
77237,forest,,,"5622.37703"
77302,forest,,,"1.39721074"
77321,forest,,,"882.521263"
77374,forest,,,"28877.9587"
77398,forest,,,"14.9066235"
77418,forest,,,"17370.3803"
77442,forest,,,"291886.120"
77465,forest,,,"8.68984164"
77559,forest,,,"486.102602"
77576,forest,,,"113.607258"
77617,forest,,,"1219672.86"
77769,forest,,,"95.6668973"
77802,forest,,,"664.170962"
77833,forest,,,"5686.84470"
77914,forest,,,"23.0399100"
77939,forest,,,"1004.04490"
77947,forest,,,"4077.10516"
77961,forest,,,"0.33009557"
77987,forest,,,"663610.301"
78008,forest,,,"0.63089312"
78035,forest,,,"9136.47386"
78042,forest,,,"11225.2849"
78077,forest,,,"29580.6419"
78092,forest,,,"6.90378452"
78117,forest,,,"394.435796"
78120,forest,,,"6313.29089"
78148,forest,,,"1161.71228"
78180,forest,,,"626.885099"
78195,forest,,,"2886.10073"
78231,forest,,,"0.15193496"
78283,forest,,,"3553.28188"
78330,forest,,,"152.236137"
78381,forest,,,"11708.1559"
78424,forest,,,"264.445699"
78459,forest,,,"1.06661893"
78508,forest,,,"6808.67991"
78517,forest,,,"1599.95218"
78540,forest,,,"482.952540"
78547,forest,,,"1087.60273"
78580,forest,,,"57.4918037"
78708,forest,,,"2910.78619"
80000,forest,,,"654966.627"
81513,forest,,,"1068914.54"
81557,forest,,,"2474667.72"
81558,forest,,,"326675.585"
81584,forest,,,"1907009.06"
81618,forest,,,"1572.81686"
81619,forest,,,"5363754.23"
81620,forest,,,"56058.0749"
81624,forest,,,"355790.100"
81626,forest,,,"859884.144"
81628,forest,,,"444978.090"
81629,forest,,,"1648998.12"
81630,forest,,,"30.3752748"
81631,forest,,,"62.7510551"
81632,forest,,,"1918842.58"
81634,forest,,,"18522.5713"
81635,forest,,,"7579890.72"
81733,forest,,,"3624.53093"
81734,forest,,,"2489263.72"
81974,forest,,,"1127283.20"
82004,forest,,,"5902894.10"
82069,forest,,,"34.5039707"
82103,forest,,,"435525.632"
82113,forest,,,"13398199.5"
82159,forest,,,"14111947.6"
82176,forest,,,"265.544612"
82185,forest,,,"1.30400750"
82201,forest,,,"77.0611888"
82417,forest,,,"208202.943"
82425,forest,,,"156422.049"
82427,forest,,,"451414.466"
82428,forest,,,"4257478.46"
82436,forest,,,"172177.765"
82529,forest,,,"889563.651"
82564,forest,,,"31.3303284"
82572,forest,,,"1555183.86"
82843,forest,,,"0.00643051"
82845,forest,,,"710.493032"
82849,forest,,,"373.507901"
82863,forest,,,"231100.866"
82866,forest,,,"97348.7852"
82872,forest,,,"19820.7252"
82873,forest,,,"579748.649"
82874,forest,,,"657475.497"
82889,forest,,,"5229.19272"
82894,forest,,,"1299404.61"
82907,forest,,,"352155.520"
82921,forest,,,"1981518.97"
82934,forest,,,"106.620650"
82936,forest,,,"198527.205"
82941,forest,,,"121413.009"
82955,forest,,,"1021960.93"
82959,forest,,,"735.435660"
82974,forest,,,"216.520737"
82986,forest,,,"146354.631"
82988,forest,,,"16624.8976"
82989,forest,,,"2193.58035"
82990,forest,,,"6503.61854"
82992,forest,,,"47176.7340"
82993,forest,,,"3220.12465"
83000,forest,,,"176.478674"
83008,forest,,,"134.588803"
83015,forest,,,"363.086724"
83020,forest,,,"0.02285534"
83021,forest,,,"5558.30889"
83022,forest,,,"119080.402"
83023,forest,,,"1852.93749"
83032,forest,,,"29423.7960"
83036,forest,,,"5865.85719"
83042,forest,,,"44484.5682"
83044,forest,,,"4.29035220"
83046,forest,,,"257.693801"
83047,forest,,,"162.748066"
83048,forest,,,"280.542521"
83052,forest,,,"3266.96990"
83053,forest,,,"298455.956"
83100,forest,,,"2541.03746"
83140,forest,,,"931.027017"
83202,forest,,,"326627.710"
83295,forest,,,"1495734.82"
83324,forest,,,"2293.65499"
83327,forest,,,"1516.58607"
83374,forest,,,"2014.39091"
83377,forest,,,"18.9295173"
83427,forest,,,"152.832386"
83440,forest,,,"174.234486"
83442,forest,,,"781.739989"
83445,forest,,,"2537.46812"
83471,forest,,,"131.528440"
83526,forest,,,"2443890.86"
83531,forest,,,"267883.964"
83587,forest,,,"400.070924"
83672,forest,,,"114.577294"
83676,forest,,,"52.9626293"
83677,forest,,,"129.398996"
83731,forest,,,"1768.14051"
83740,forest,,,"2.77021417"
83753,forest,,,"443.530884"
83772,forest,,,"3167685.73"
83773,forest,,,"3168574.19"
83780,forest,,,"609501.964"
83782,forest,,,"3878245.80"
83783,forest,,,"220115.906"
83785,forest,,,"4605892.06"
83786,forest,,,"806347.443"
83788,forest,,,"2392799.89"
83846,forest,,,"1299.26869"
83925,forest,,,"4.65910179"
83999,forest,,,"21645.6411"
84024,forest,,,"13.2191437"
84041,forest,,,"3052.19399"
84047,forest,,,"1905.45779"
84166,forest,,,"27.6985671"
84191,forest,,,"7585.06290"
84194,forest,,,"4052.38789"
84195,forest,,,"7192394.88"
84198,forest,,,"341967.345"
84202,forest,,,"17383.0177"
84220,forest,,,"1338041.21"
84230,forest,,,"241637.531"
84244,forest,,,"203.813393"
84273,forest,,,"845.441194"
84301,forest,,,"205.009835"
84306,forest,,,"1038.87842"
84308,forest,,,"23221.1957"
84309,forest,,,"2861.72072"
84312,forest,,,"269.610214"
84318,forest,,,"99.5443596"
84325,forest,,,"22266.8985"
84327,forest,,,"988.329900"
84328,forest,,,"2.33359583"
84395,forest,,,"3038324.35"
84431,forest,,,"3564754.09"
84456,forest,,,"12619169.2"
84460,forest,,,"2167223.98"
84461,forest,,,"1226954.32"
84485,forest,,,"147876.010"
84491,forest,,,"6069148.28"
84538,perm,,,"78.7304573"
84585,perm,,,"200.894499"
84586,perm,,,"11.7696075"
84587,perm,,,"19.2861429"
84588,perm,,,"226.141227"
84592,perm,,,"81.7817765"
84594,perm,,,"47.0978074"
84608,perm,,,"3.69967534"
84619,perm,,,"1.84932220"
84679,perm,,,"15.0972633"
84690,perm,,,"506.784466"
84783,perm,,,"154.327866"
85113,perm,,,"328.253570"
85129,perm,,,"9.55526200"
86119,perm,,,"170.016852"
86135,perm,,,"4.31195905"
86255,perm,,,"293.795459"
86273,perm,,,"659.390395"
86359,perm,,,"209.577909"
86407,perm,,,"71.0075114"
86408,perm,,,"374.257772"
86413,perm,,,"19.1765958"
86430,perm,,,"1.19405257"
86461,perm,,,"195.411943"
86594,perm,,,"0.07852708"
86611,perm,,,"5.12695503"
87994,perm,,,"198.839229"
88000,perm,,,"433.583668"
88005,perm,,,"12.2862626"
88088,perm,,,"12.8488418"
88109,perm,,,"222.068078"
88117,perm,,,"46.9609388"
88126,perm,,,"164.101549"
88138,perm,,,"140.562554"
88157,perm,,,"52.6107094"
88251,perm,,,"244.195044"
88272,perm,,,"13.8658806"
88273,perm,,,"4.00580647"
88288,perm,,,"26.5657896"
88301,perm,,,"315.096740"
88309,perm,,,"3.87787487"
88342,perm,,,"27.1207356"
88354,perm,,,"2.17121138"
88359,perm,,,"2.51862588"
88363,perm,,,"292.246897"
88405,perm,,,"16.2676755"
88409,perm,,,"161.493694"
88417,perm,,,"83.3262889"
88426,perm,,,"93.9285010"
88434,perm,,,"0.82037928"
88440,perm,,,"37.1836314"
88455,perm,,,"150.051093"
88459,perm,,,"11.6523430"
88505,perm,,,"47.6144475"
88515,perm,,,"366.821666"
88517,perm,,,"92.3194627"
88525,perm,,,"473.703570"
88535,perm,,,"26.6982357"
88539,perm,,,"9.97983620"
88546,perm,,,"113.311814"
88550,perm,,,"0.44125579"
88557,perm,,,"0.00123235"
88570,perm,,,"186.152741"
88595,perm,,,"202.819825"
88617,perm,,,"224.954034"
88630,perm,,,"116.835682"
88636,perm,,,"174.828315"
88638,perm,,,"25.8634173"
88700,perm,,,"3.39754455"
88702,perm,,,"310.299221"
88708,perm,,,"45.9758940"
88709,perm,,,"114.776005"
88712,perm,,,"317.630303"
88733,perm,,,"159.557143"
88767,perm,,,"58.7033630"
88802,perm,,,"72.0268803"
88807,perm,,,"107.475930"
88818,perm,,,"6.34046242"
88875,perm,,,"42.7780858"
88894,perm,,,"379.133067"
88926,perm,,,"10.8078761"
88986,perm,,,"87.3752972"
88989,perm,,,"191.019639"
89041,perm,,,"281.650787"
89045,perm,,,"0.01247865"
89049,perm,,,"106.964451"
89073,perm,,,"90.3505242"
89076,perm,,,"1.39197019"
89078,perm,,,"31.1473280"
89113,perm,,,"0.19425009"
89166,perm,,,"240.235642"
89183,perm,,,"112.641115"
89192,perm,,,"145.060768"
89235,perm,,,"526.101187"
89261,perm,,,"169.708715"
89268,perm,,,"497.577696"
89274,perm,,,"5.84721113"
89280,perm,,,"19.7208433"
89285,perm,,,"176.822603"
89307,perm,,,"147.135682"
89318,perm,,,"10.0891342"
89323,perm,,,"328.880705"
89335,perm,,,"215.887970"
89349,perm,,,"33.1522921"
89379,perm,,,"378.343219"
89383,perm,,,"33.9775871"
89391,perm,,,"61.2360208"
89428,perm,,,"14.8787299"
89470,perm,,,"194.071125"
89472,perm,,,"980.503533"
89480,perm,,,"194.789258"
89505,perm,,,"3.25726094"
89531,perm,,,"585.035831"
89583,perm,,,"165.125526"
89700,perm,,,"86.2832621"
89731,perm,,,"139.211212"
89740,perm,,,"66.9948470"
89795,perm,,,"62.4696942"
89823,perm,,,"604.210126"
89899,perm,,,"194.505426"
89907,perm,,,"168.543313"
89953,perm,,,"55.9051887"
89954,perm,,,"104.048581"
89961,perm,,,"14.0266793"
89962,perm,,,"8.09394857"
90002,perm,,,"184.071019"
90048,perm,,,"22.4658543"
90097,perm,,,"15.2497122"
90174,perm,,,"6.39266557"
90218,perm,,,"626.537799"
90284,perm,,,"35.4152948"
90317,perm,,,"8.59528814"
90324,perm,,,"89.3417657"
90326,perm,,,"9.26563959"
90347,perm,,,"4.50730127"
90350,perm,,,"434.959883"
90402,perm,,,"55.9812193"
90414,perm,,,"35.2067751"
90421,perm,,,"193.319695"
90431,perm,,,"58.9686599"
90651,natura2000,6530*,III,"5534.77960"
90652,natura2000,6530*,III,"2602.63509"
90653,natura2000,6530*,III,"1699.95026"
90666,natura2000,1630*,III,"1625.38178"
90673,natura2000,"5130",I,"1317.97712"
90676,natura2000,6280*,III,"3.80088387"
90677,natura2000,6280*,III,"0.93022593"
90678,natura2000,6280*,III,"2.41279356"
90679,natura2000,6280*,III,"2.24643947"
90680,natura2000,9080*,II,"91969.9232"
90681,natura2000,9080*,II,"62185.0270"
90682,natura2000,9080*,II,"10101.6636"
90688,natura2000,6280*,III,"8912.29913"
90689,natura2000,6280*,III,"430.669370"
90690,natura2000,6280*,III,"69.7274407"
90691,natura2000,6280*,III,"5598.38293"
90692,natura2000,6280*,III,"27.9397107"
90693,natura2000,6280*,III,"1717.63411"
90744,natura2000,9010*,I,"3481.26969"
90745,natura2000,9010*,I,"67.3981650"
90746,natura2000,6270*,II,"150.704463"
90747,natura2000,6270*,II,"0.04303998"
90751,natura2000,"1220",II,"656.338675"
90755,natura2000,1630*,II,"146.246182"
90759,natura2000,"5130",I,"14.8244489"
90762,natura2000,6270*,II,"1.04405826"
90763,natura2000,6270*,II,"38.3645535"
90764,natura2000,6270*,II,"1.31649217"
90765,natura2000,6270*,II,"0.63553846"
90770,natura2000,1630*,II,"1.05638580"
90775,natura2000,"5130",I,"45849.6902"
90781,natura2000,"5130",I,"178.566523"
90783,natura2000,"1220",II,"0.87426280"
90789,natura2000,"1640",II,"3.81853302"
90793,natura2000,"1210",I,"2219.40280"
90801,natura2000,9010*,I,"88708.9491"
90802,natura2000,9010*,I,"83121.9073"
90803,natura2000,9010*,I,"621.296677"
90804,natura2000,9080*,I,"176808.069"
90805,natura2000,9080*,I,"15443.1011"
90806,natura2000,9080*,I,"40.2133444"
90807,natura2000,9080*,I,"1003.33628"
90808,natura2000,"7230",II,"12.8899868"
90809,natura2000,"7230",II,"3.54512220"
90810,natura2000,"7230",II,"2.80091882"
90815,natura2000,"1310",II,"12.0889366"
90816,natura2000,"1310",II,"329.620307"
90817,natura2000,"1310",II,"0.34627614"
90818,natura2000,9080*,I,"8084.31899"
90819,natura2000,"7230",I,"13392.2912"
90820,natura2000,6530*,III,"2.03055187"
90821,natura2000,6530*,III,"131.419574"
90841,natura2000,9010*,II,"2159.21260"
90842,natura2000,"5130",II,"20483.3651"
90846,natura2000,"5130",II,"2532.54852"
90857,natura2000,"5130",II,"6815.73229"
90858,natura2000,9010*,I,"75337.0455"
90859,natura2000,9010*,I,"67225.4837"
