fid,class,natura_cod,status,area
71877,forest,,,"813.976226"
71984,forest,,,"39442.8012"
72090,forest,,,"88687.4178"
72108,forest,,,"3461.19091"
72281,forest,,,"8440.46242"
72308,forest,,,"4198.33917"
72828,forest,,,"1914.35876"
72831,forest,,,"15726.4166"
72848,forest,,,"8337.86922"
73044,forest,,,"11560.1268"
73271,forest,,,"4450.48240"
73280,forest,,,"5448.87581"
74183,forest,,,"4071318.33"
74763,forest,,,"78.5485282"
75654,forest,,,"1686.49586"
76028,forest,,,"8134.94145"
76060,forest,,,"160.156439"
76068,forest,,,"4351.37608"
76189,forest,,,"10790.7170"
76297,forest,,,"283106.354"
76463,forest,,,"165237.222"
76466,forest,,,"50643.1561"
76476,forest,,,"1573.85660"
76477,forest,,,"379647.991"
76478,forest,,,"1476.82906"
76479,forest,,,"974.923544"
76483,forest,,,"790.203969"
76486,forest,,,"10348.7327"
76489,forest,,,"175.748276"
76491,forest,,,"75.0650968"
76492,forest,,,"2111.72299"
76494,forest,,,"1705.28360"
76497,forest,,,"751.831309"
76500,forest,,,"105778.303"
76507,forest,,,"1802.17167"
76509,forest,,,"82189.3165"
76510,forest,,,"843.788949"
76517,forest,,,"1264.74879"
76521,forest,,,"125900.577"
76525,forest,,,"4980.14696"
76526,forest,,,"182.312679"
76527,forest,,,"3230.52485"
76528,forest,,,"3385.04499"
76531,forest,,,"1161.52120"
76532,forest,,,"4446.03353"
76534,forest,,,"32880.3597"
76539,forest,,,"4958.40507"
76541,forest,,,"186.362861"
76542,forest,,,"4813.80261"
76548,forest,,,"5940.52896"
76557,forest,,,"20894.3728"
76564,forest,,,"31137.4507"
76568,forest,,,"175.263444"
76569,forest,,,"1770.35492"
76573,forest,,,"1102.82152"
76580,forest,,,"2229.48187"
76584,forest,,,"6278.18185"
76587,forest,,,"47517.2711"
76590,forest,,,"2009.17054"
76594,forest,,,"6891.00019"
76599,forest,,,"6457.88266"
76603,forest,,,"5663.71310"
76610,forest,,,"1182.45240"
76612,forest,,,"4515.36873"
76616,forest,,,"117.339915"
76618,forest,,,"2270.42250"
76623,forest,,,"7.92693782"
76625,forest,,,"4541.69944"
76627,forest,,,"24.5963432"
76636,forest,,,"1092.31398"
76639,forest,,,"9774.62161"
76647,forest,,,"24225.1452"
76653,forest,,,"1205.27502"
76654,forest,,,"5817.09649"
76657,forest,,,"988.148481"
76659,forest,,,"6449.26578"
76660,forest,,,"10.3637258"
76669,forest,,,"1753.23147"
76671,forest,,,"6293.54733"
76672,forest,,,"6762.97998"
76675,forest,,,"834.623356"
76681,forest,,,"4379.25477"
76683,forest,,,"4018.14223"
76684,forest,,,"0.41102389"
76685,forest,,,"2039.58109"
76686,forest,,,"15543.1623"
76691,forest,,,"1.57359913"
76693,forest,,,"1775.72218"
76694,forest,,,"2019.22761"
76696,forest,,,"1941.78686"
76705,forest,,,"185.549018"
76707,forest,,,"83.0135973"
76713,forest,,,"1391.39443"
76715,forest,,,"10524.3948"
76717,forest,,,"79.8404146"
76720,forest,,,"707.856170"
76724,forest,,,"8085.72431"
76725,forest,,,"1568.00909"
76726,forest,,,"1.09574351"
76728,forest,,,"11060.0375"
76742,forest,,,"345035.629"
76746,forest,,,"2456.85651"
76751,forest,,,"23852.3096"
76754,forest,,,"14999.9480"
76755,forest,,,"30363.1685"
76762,forest,,,"3657.33071"
76763,forest,,,"9414.10862"
76764,forest,,,"1604.65918"
76772,forest,,,"6260.92995"
76775,forest,,,"150.582457"
76777,forest,,,"3073.42702"
76782,forest,,,"62.7171542"
76783,forest,,,"10687.0565"
76784,forest,,,"893.516024"
76793,forest,,,"1062.10897"
76797,forest,,,"3288.77999"
76800,forest,,,"113084.041"
76801,forest,,,"1954.75288"
76804,forest,,,"65.9565027"
76810,forest,,,"1530.64785"
76811,forest,,,"5400.93226"
76813,forest,,,"874.471796"
76815,forest,,,"3962.15664"
76822,forest,,,"5361.11817"
76823,forest,,,"12898.0957"
76825,forest,,,"470.371824"
76826,forest,,,"811.892790"
76833,forest,,,"2.88256263"
76835,forest,,,"2571.22412"
76838,forest,,,"110.344942"
76839,forest,,,"7863.86687"
76842,forest,,,"1667.89460"
76843,forest,,,"2314.20291"
76851,forest,,,"692.332456"
76861,forest,,,"2669.56295"
76867,forest,,,"6028.66743"
76870,forest,,,"7903.33912"
76873,forest,,,"439.931478"
76874,forest,,,"27.3723506"
76875,forest,,,"492.924304"
76876,forest,,,"120.321652"
76881,forest,,,"6769.40324"
76882,forest,,,"3208.08625"
76885,forest,,,"13693.5495"
76887,forest,,,"3188.19160"
76888,forest,,,"4653.45009"
76889,forest,,,"6188.79166"
76893,forest,,,"54.4486422"
76894,forest,,,"5495.18182"
76903,forest,,,"8104.61555"
76906,forest,,,"9872.58063"
76907,forest,,,"144.529800"
76908,forest,,,"4.93293933"
76910,forest,,,"45624.1269"
76914,forest,,,"2614.03191"
76916,forest,,,"2754.77895"
76921,forest,,,"608.066879"
76922,forest,,,"2099.68641"
76924,forest,,,"222.486404"
76926,forest,,,"48026.6944"
76939,forest,,,"4183.95147"
76945,forest,,,"5744.48275"
76952,forest,,,"368.689237"
76955,forest,,,"1529.55826"
76956,forest,,,"1408.14769"
76957,forest,,,"1387.31466"
76966,forest,,,"393.402756"
76972,forest,,,"624.158937"
76976,forest,,,"54.5472291"
76977,forest,,,"314571.593"
76978,forest,,,"10775.7964"
76980,forest,,,"207951.509"
76990,forest,,,"2568.91044"
76994,forest,,,"886.696891"
77003,forest,,,"104694.870"
77009,forest,,,"751.454769"
77010,forest,,,"21275.3045"
77016,forest,,,"2598.77104"
77018,forest,,,"1016.11696"
77023,forest,,,"889.302462"
77030,forest,,,"1678.80527"
77033,forest,,,"2614.93946"
77034,forest,,,"9816.60930"
77041,forest,,,"3810.83349"
77044,forest,,,"3261.81102"
77046,forest,,,"1861.14693"
77049,forest,,,"1710.62835"
77061,forest,,,"5796.83382"
77069,forest,,,"79238.9235"
77072,forest,,,"784.719171"
77073,forest,,,"18745.3511"
77076,forest,,,"2260.08992"
77078,forest,,,"0.85206991"
77081,forest,,,"1396.49042"
77084,forest,,,"1213.89833"
77086,forest,,,"1703.97673"
77090,forest,,,"0.04433729"
77097,forest,,,"869.931428"
77105,forest,,,"146631.610"
77113,forest,,,"2774.48729"
77126,forest,,,"1245.71975"
77130,forest,,,"4518.27030"
77134,forest,,,"472.092617"
77138,forest,,,"1244.11336"
77140,forest,,,"9637.89359"
77147,forest,,,"480.238830"
77149,forest,,,"7197.01180"
77152,forest,,,"94510.2496"
77153,forest,,,"5377.64593"
77154,forest,,,"95.1354418"
77156,forest,,,"449.355040"
77157,forest,,,"1072.60795"
77162,forest,,,"10028.3711"
77171,forest,,,"2723.26938"
77172,forest,,,"1404.45519"
77173,forest,,,"1.31452520"
77176,forest,,,"2.14660985"
77179,forest,,,"39698.4381"
77180,forest,,,"17694.7641"
77181,forest,,,"5147.75010"
77194,forest,,,"448.181548"
77204,forest,,,"216879.901"
77205,forest,,,"20778.6884"
77210,forest,,,"34.0236044"
77211,forest,,,"389.222199"
77216,forest,,,"25351.3319"
77219,forest,,,"195666.793"
77225,forest,,,"2.88978834"
77232,forest,,,"251.591044"
77233,forest,,,"455.338542"
77235,forest,,,"13814.0356"
77243,forest,,,"11713.3016"
77246,forest,,,"3167.22658"
77247,forest,,,"15000.7844"
77252,forest,,,"0.38168899"
77255,forest,,,"2644.00441"
77259,forest,,,"1010.12377"
77264,forest,,,"1161.95007"
77272,forest,,,"415.661972"
77276,forest,,,"13405.2324"
77277,forest,,,"4471.68517"
77278,forest,,,"1270.28821"
77280,forest,,,"11142.9414"
77289,forest,,,"2508.46917"
77303,forest,,,"3848.69845"
77315,forest,,,"352.525743"
77317,forest,,,"956.201165"
77322,forest,,,"23245.0035"
77323,forest,,,"113.785005"
77324,forest,,,"1947.53328"
77325,forest,,,"5539.45592"
77327,forest,,,"61279.6528"
77331,forest,,,"1457.03454"
77351,forest,,,"816.918569"
77354,forest,,,"1363.78239"
77356,forest,,,"3879.49202"
77360,forest,,,"1547.02374"
77363,forest,,,"652.071061"
77366,forest,,,"21.9672017"
77372,forest,,,"3774.95488"
77374,forest,,,"44737.9207"
77375,forest,,,"3595.93790"
77381,forest,,,"4726.33823"
77384,forest,,,"4638.24821"
77390,forest,,,"102.025381"
77392,forest,,,"11652.3787"
77396,forest,,,"228.827756"
77400,forest,,,"3236.86145"
77403,forest,,,"13699.2246"
77410,forest,,,"0.17867113"
77412,forest,,,"3671.14835"
77413,forest,,,"43543.8049"
77414,forest,,,"142.240852"
77416,forest,,,"3210.22008"
77419,forest,,,"4439.50927"
77425,forest,,,"1825.18506"
77433,forest,,,"4.57792537"
77442,forest,,,"154757.111"
77443,forest,,,"2021.75843"
77445,forest,,,"5226.20622"
77449,forest,,,"10014.3691"
77450,forest,,,"60132.5208"
77451,forest,,,"1495.60939"
77456,forest,,,"1538.67716"
77459,forest,,,"211.839342"
77460,forest,,,"1326.04012"
77465,forest,,,"125.465516"
77468,forest,,,"73820.0716"
77469,forest,,,"1938.45482"
77473,forest,,,"3608.16484"
77476,forest,,,"193.982736"
77478,forest,,,"9443.87793"
77479,forest,,,"16803.7766"
77481,forest,,,"301.579883"
77483,forest,,,"23640.9936"
77487,forest,,,"7841.87897"
77491,forest,,,"3042.30274"
77503,forest,,,"3146.81799"
77504,forest,,,"9843.91141"
77507,forest,,,"139482.424"
77511,forest,,,"111.631065"
77515,forest,,,"22.0394859"
77523,forest,,,"225525.455"
77530,forest,,,"4003.41204"
77532,forest,,,"2191.06810"
77536,forest,,,"555.733939"
77541,forest,,,"80414.6039"
77542,forest,,,"75304.9941"
77543,forest,,,"2617.30616"
77544,forest,,,"115.008247"
77547,forest,,,"8007.51862"
77551,forest,,,"14810.0588"
77552,forest,,,"1657.91727"
77553,forest,,,"4355.30647"
77558,forest,,,"714.519861"
77559,forest,,,"1372.32937"
77562,forest,,,"414.041032"
77563,forest,,,"0.81855790"
77564,forest,,,"8340.78045"
77586,forest,,,"6877.32646"
77589,forest,,,"9820.01061"
77590,forest,,,"981.819426"
77591,forest,,,"13040.2593"
77595,forest,,,"872.545549"
77610,forest,,,"2684.93142"
77614,forest,,,"1623.65470"
77616,forest,,,"45.4189861"
77620,forest,,,"693.221898"
77623,forest,,,"1084.08581"
77629,forest,,,"18278.8943"
77636,forest,,,"21283.7981"
77638,forest,,,"2081.41736"
77643,forest,,,"2187.21874"
77648,forest,,,"2020.66702"
77649,forest,,,"151.681426"
77650,forest,,,"3168.65695"
