fid,class,natura_cod,status,area
100746,forest,,,"12308.8787"
101564,forest,,,"850.431076"
101592,forest,,,"506.415783"
101637,forest,,,"9911.30482"
102595,forest,,,"7088.54302"
102771,forest,,,"776.853962"
102951,forest,,,"5948.52321"
103024,forest,,,"5781.52032"
103025,forest,,,"1035.73514"
103030,forest,,,"792.371263"
103031,forest,,,"637.889773"
103056,forest,,,"2128.15005"
103064,forest,,,"2780.24674"
103646,forest,,,"379.108968"
103659,forest,,,"4964.76416"
103703,forest,,,"188.668688"
103755,forest,,,"482.959830"
103797,forest,,,"16149.0825"
104033,forest,,,"3771.77554"
104051,forest,,,"567.472262"
104137,forest,,,"7336.15421"
104146,forest,,,"624.823008"
104292,forest,,,"73115.5335"
104323,forest,,,"525.655677"
104394,forest,,,"296.537417"
104480,forest,,,"1751.05957"
104488,forest,,,"1435.10714"
104549,forest,,,"3064.83543"
104604,forest,,,"208.639789"
104747,forest,,,"1395.80180"
104757,forest,,,"228.199423"
104794,forest,,,"5178.49020"
104880,forest,,,"4133.34222"
105031,forest,,,"577.077960"
105166,forest,,,"1209.43292"
105463,forest,,,"3925.47765"
105680,forest,,,"591.944571"
105681,forest,,,"881.620430"
105694,forest,,,"295.209057"
105891,forest,,,"283.518671"
106116,forest,,,"1650.88136"
106539,forest,,,"1909.58715"
106823,forest,,,"2319.82944"
106943,forest,,,"246.404273"
107094,forest,,,"250.175778"
107114,forest,,,"2349.38889"
107179,forest,,,"5351.71991"
107204,forest,,,"942.854961"
107333,forest,,,"27340.1456"
107468,forest,,,"10892.1869"
107469,forest,,,"27627.5846"
107477,forest,,,"538.934628"
107527,forest,,,"1251.09487"
107569,forest,,,"2806.74637"
107570,forest,,,"86731.0997"
107583,forest,,,"81999.7942"
107766,forest,,,"793.193864"
107802,forest,,,"875.260687"
107814,forest,,,"1515.48017"
108323,forest,,,"73548.3635"
108581,forest,,,"42252.6965"
108764,forest,,,"34518.5259"
108900,forest,,,"944.609556"
109087,forest,,,"44578.1433"
109119,forest,,,"34894.5711"
109346,forest,,,"14370.6943"
109377,forest,,,"4975.26042"
109384,forest,,,"6229.76518"
109526,forest,,,"17360.6488"
109766,forest,,,"242.359053"
109806,forest,,,"202.666250"
109947,forest,,,"509.409574"
110003,forest,,,"47261.7512"
110089,forest,,,"766.751947"
110147,forest,,,"1117.89789"
110189,forest,,,"1140.23030"
110304,forest,,,"40347.7264"
110326,forest,,,"340.361134"
110589,forest,,,"1275.28665"
110656,forest,,,"746.672205"
110731,forest,,,"1553.98258"
110762,forest,,,"133.284071"
110801,forest,,,"141.993777"
110856,forest,,,"839.401042"
111028,forest,,,"121.161595"
111094,forest,,,"530.953683"
111113,forest,,,"356.134522"
111257,forest,,,"245.165987"
111265,forest,,,"4831.63417"
111304,forest,,,"4.38009411"
111555,forest,,,"1070.12109"
111598,forest,,,"714.071220"
111708,forest,,,"430.376030"
111710,forest,,,"5142.11138"
111880,forest,,,"6425.49828"
111979,forest,,,"3284.87064"
112023,forest,,,"65661.0388"
112088,forest,,,"107.091851"
112175,forest,,,"1306.62985"
112184,forest,,,"548.432528"
112207,forest,,,"9208.77282"
112337,forest,,,"377.683931"
112536,forest,,,"3669.37780"
112611,forest,,,"324.383238"
112624,forest,,,"811.725310"
112655,forest,,,"1385.45758"
112988,forest,,,"1246.00032"
113040,forest,,,"346.784853"
113078,forest,,,"3278.98208"
113141,forest,,,"476.832079"
113182,forest,,,"320.817245"
113254,forest,,,"751.407103"
113264,forest,,,"9085.13949"
113402,forest,,,"11814.6144"
113503,forest,,,"16252.6997"
113721,forest,,,"9077.21281"
113740,forest,,,"412.093518"
113764,forest,,,"2450.87239"
113929,forest,,,"12940.2438"
114023,forest,,,"24803.4247"
114024,forest,,,"206296.421"
114025,forest,,,"52817.2584"
114050,forest,,,"137.458656"
114087,forest,,,"60707.9813"
114164,forest,,,"2019.06674"
114194,forest,,,"297.780075"
114271,forest,,,"153.093057"
114370,forest,,,"116.948416"
114618,forest,,,"193994.955"
114627,forest,,,"1393.36370"
114878,forest,,,"1093.16988"
114882,forest,,,"29546.4953"
114893,forest,,,"6367.89147"
115081,forest,,,"4121.22304"
115113,forest,,,"9513.59023"
115291,forest,,,"11227.3824"
115386,forest,,,"6.91532281"
115506,forest,,,"1148.55559"
115611,forest,,,"9246.00530"
115633,forest,,,"6063.05461"
115736,forest,,,"1416.36587"
115739,forest,,,"801.369067"
115866,forest,,,"24910.1815"
115913,forest,,,"30466.3977"
115915,forest,,,"25051.8711"
115916,forest,,,"55025.7537"
115926,forest,,,"76491.7842"
116026,perm,,,"412.081689"
116187,perm,,,"7.26157020"
116275,perm,,,"59.0175292"
116495,perm,,,"17.2508499"
116508,perm,,,"422.362616"
116594,perm,,,"17.1144582"
116647,perm,,,"7.82802792"
116670,perm,,,"209.111002"
116689,perm,,,"28.8655445"
116748,perm,,,"107.511849"
116908,perm,,,"221.789876"
116972,perm,,,"164.515247"
117010,perm,,,"200.025464"
117246,perm,,,"38.9034209"
117348,perm,,,"31.3346080"
117349,perm,,,"276.965358"
117400,perm,,,"380.628681"
117441,perm,,,"2714.15855"
117506,perm,,,"190.763979"
117526,perm,,,"46.2915944"
117672,perm,,,"64.9447108"
117715,perm,,,"185.490450"
117889,perm,,,"316.219452"
117920,perm,,,"542.034710"
118105,perm,,,"223.949105"
118168,perm,,,"40.3681650"
118585,perm,,,"238.682576"
118639,perm,,,"68.0931014"
119116,perm,,,"0.01616666"
119460,perm,,,"99.4192295"
119640,perm,,,"128.190323"
119765,perm,,,"55.9866884"
119767,perm,,,"3.00371911"
