fid,class,natura_cod,status,area
100733,forest,,,"1286.22966"
100806,forest,,,"536.117891"
100846,forest,,,"12072.9856"
101223,forest,,,"2558.07361"
101637,forest,,,"4336.08207"
101970,forest,,,"32.8996158"
102152,forest,,,"1681.51880"
102165,forest,,,"38212.7815"
102588,forest,,,"778.965133"
102951,forest,,,"544675.673"
103035,forest,,,"136.222766"
103484,forest,,,"106.574512"
103522,forest,,,"3979.96767"
103924,forest,,,"1735.90020"
103932,forest,,,"180.985997"
104142,forest,,,"774.733579"
104187,forest,,,"2903.82772"
104880,forest,,,"392420.810"
104888,forest,,,"1511.76165"
104901,forest,,,"106372.141"
106669,forest,,,"540.372747"
106832,forest,,,"5.65912906"
107114,forest,,,"241969.030"
107333,forest,,,"1064353.81"
107895,forest,,,"5263.46078"
107902,forest,,,"2813.74538"
108323,forest,,,"345761.695"
108581,forest,,,"26832.9225"
108764,forest,,,"3438648.85"
109087,forest,,,"885919.852"
109300,forest,,,"1848.11013"
109377,forest,,,"491848.839"
109526,forest,,,"105955.803"
109727,forest,,,"4.94764533"
109763,forest,,,"1586.41757"
109938,forest,,,"13456.0900"
110003,forest,,,"236858.666"
110057,forest,,,"192.991669"
110326,forest,,,"2.57240339"
110497,forest,,,"58.4326402"
111178,forest,,,"905.045105"
111198,forest,,,"740.613493"
111265,forest,,,"43906.1692"
111710,forest,,,"383532.774"
112267,forest,,,"218429.891"
112337,forest,,,"13.2355047"
113162,forest,,,"1797.07772"
113254,forest,,,"69.6350468"
113264,forest,,,"386862.732"
113531,forest,,,"614.643582"
113662,forest,,,"1725.70718"
114023,forest,,,"1411144.84"
114024,forest,,,"93679.2899"
114025,forest,,,"1239485.10"
114087,forest,,,"593483.063"
114403,forest,,,"108155.031"
114409,forest,,,"1911788.80"
114417,forest,,,"3216.32797"
114862,forest,,,"32929.8052"
114882,forest,,,"278892.288"
115081,forest,,,"2551596.17"
115505,forest,,,"5.78233624"
115506,forest,,,"513185.885"
115611,forest,,,"153896.601"
115789,forest,,,"25661.7870"
115913,forest,,,"1086217.35"
115916,forest,,,"1558812.10"
115920,forest,,,"720452.669"
115926,forest,,,"503840.841"
116460,perm,,,"53.4195515"
117441,perm,,,"364.845714"
119740,perm,,,"0.11526718"
119767,perm,,,"9.02541009"
119907,perm,,,"35.1801467"
120121,natura2000,"9050",III,"161220.716"
120122,natura2000,"9050",III,"20444.4864"
120133,natura2000,"1210",I,"18752.4921"
120233,natura2000,"2180",I,"672298.495"
120235,natura2000,6270*,III,"259.075229"
120237,natura2000,6280*,III,"7152.43615"
120238,natura2000,6270*,III,"0.87140965"
120239,natura2000,6270*,III,"0.17186575"
120240,natura2000,6270*,III,"2581.50951"
120242,natura2000,91D0*,III,"46235.4494"
120243,natura2000,91D0*,III,"39015.0869"
120690,natura2000,"6510",III,"123.876073"
120702,natura2000,6270*,III,"139.688353"
120703,natura2000,6270*,III,"771.747738"
120725,natura2000,6210*,III,"301.146530"
120726,natura2000,6210*,III,"542.852943"
120729,natura2000,"6510",III,"1545.24560"
120746,natura2000,6270*,III,"497.455337"
121861,natura2000,9080*,I,"30006.2117"
121890,natura2000,9020*,I,"1065789.93"
121928,natura2000,6270*,III,"20544.5127"
121931,natura2000,6270*,III,"1943.56545"
121933,natura2000,6270*,III,"1.00649719"
121934,natura2000,6270*,III,"15277.3277"
122049,natura2000,"8210",I,"2251.07337"
122056,natura2000,9020*,III,"3303.31238"
130286,natura2000,"91D0",C,"743319.989"
130289,natura2000,"9080",C,"7851.65489"
130290,natura2000,"-",C,"21403.6825"
130291,natura2000,"-",C,"82810.3810"
130292,natura2000,"9080",B,"107267.900"
130293,natura2000,"9080",B,"58790.1774"
130294,natura2000,"9020",B,"24236.9077"
130295,natura2000,"9080",A,"58431.3697"
130296,natura2000,"9080",B,"106649.334"
130297,natura2000,"9050",A,"60559.4528"
130298,natura2000,"9020",B,"202960.849"
130299,natura2000,"9020",A,"52603.1209"
130300,natura2000,"9080",C,"60562.2507"
130301,natura2000,"9050",C,"39639.7893"
130302,natura2000,"9020",B,"4721.00470"
130303,natura2000,"9050",B,"4818.37940"
130339,natura2000,"9180",C,"32853.0590"
130340,natura2000,"-",D,"38707.4488"
131106,natura2000,2190/9080,C,"2271.55566"
131107,natura2000,"2190",C,"10549.1725"
131109,natura2000,"2190",C,"11480.6249"
131110,natura2000,"2190",C,"11164.7510"
131111,natura2000,"2190",C,"4689.30579"
132568,natura2000,"6210",,"14994.7705"
132569,natura2000,"6510",,"7301.51868"
132615,natura2000,"6270, 7230",,"12554.0189"
132624,natura2000,"6270",,"18663.9003"
132627,natura2000,"6270",,"39324.2756"
132656,natura2000,"6280",,"105581.006"
132657,natura2000,"6270",,"34384.8956"
132658,natura2000,,,"16711.6102"
132659,natura2000,"6270",,"10461.9421"
132660,natura2000,"6270",,"33391.8350"
132661,natura2000,"6270",,"2712.02951"
132676,natura2000,"6270",,"5619.73433"
132935,natura2000,6270*,III,"9712.22911"
