fid,class,natura_cod,status,area
100675,forest,,,"358.396869"
100733,forest,,,"561.130377"
100746,forest,,,"55611.1543"
100765,forest,,,"3291.76504"
100818,forest,,,"1134.19901"
100825,forest,,,"614.097224"
100876,forest,,,"806.716022"
100883,forest,,,"3008.47477"
101023,forest,,,"183.037965"
101041,forest,,,"3121.24294"
101179,forest,,,"7025.95709"
101192,forest,,,"15346.1719"
101287,forest,,,"27090.6716"
101360,forest,,,"1589.81149"
101402,forest,,,"203.905878"
101519,forest,,,"285.484428"
101736,forest,,,"7380.65077"
101941,forest,,,"317.592269"
101954,forest,,,"703236.250"
101970,forest,,,"8624.41138"
102010,forest,,,"2559.21382"
102158,forest,,,"1245.81589"
102159,forest,,,"81688.9049"
102165,forest,,,"146132.580"
102166,forest,,,"16128.4769"
102469,forest,,,"2157.42613"
102743,forest,,,"1095.63123"
102771,forest,,,"2791.35727"
102843,forest,,,"11235.2045"
102951,forest,,,"386127.723"
102960,forest,,,"4383.98127"
102967,forest,,,"82985.4962"
102968,forest,,,"2295.62083"
103004,forest,,,"4392.64529"
103030,forest,,,"32411.1993"
103035,forest,,,"24278.3532"
103058,forest,,,"2269.25804"
103302,forest,,,"6429.96901"
103430,forest,,,"20350.1971"
103461,forest,,,"438.112846"
103464,forest,,,"1206.21877"
103522,forest,,,"18.6548806"
103588,forest,,,"3194.62492"
103672,forest,,,"763.362920"
103703,forest,,,"101427.899"
103857,forest,,,"547.278790"
103932,forest,,,"5304.69159"
103943,forest,,,"299.390918"
104034,forest,,,"557.313581"
104051,forest,,,"100.977285"
104137,forest,,,"11840.9182"
104156,forest,,,"3893.72046"
104199,forest,,,"417.018229"
104200,forest,,,"44669.8348"
104252,forest,,,"517.546441"
104292,forest,,,"46313.8204"
104496,forest,,,"1241.85839"
104532,forest,,,"35992.5953"
104549,forest,,,"302864.758"
104557,forest,,,"186.103187"
104569,forest,,,"5867.14012"
104604,forest,,,"805.939226"
104679,forest,,,"2049.10695"
104757,forest,,,"76.2767146"
104794,forest,,,"6098.09542"
104809,forest,,,"480.847072"
104815,forest,,,"1185.45410"
104836,forest,,,"530.073217"
104869,forest,,,"51427.2308"
104873,forest,,,"745.474687"
104880,forest,,,"410862.845"
104887,forest,,,"9026.14785"
104888,forest,,,"12612.7213"
104901,forest,,,"38118.0109"
105016,forest,,,"55.0194589"
105038,forest,,,"1389.14928"
105218,forest,,,"2987.56599"
105304,forest,,,"55342.3794"
105311,forest,,,"808.547365"
105319,forest,,,"10956.2861"
105463,forest,,,"14970.5591"
105503,forest,,,"69711.0966"
105681,forest,,,"19969.9630"
105683,forest,,,"132017.692"
105694,forest,,,"200.116037"
105941,forest,,,"37663.3911"
105950,forest,,,"9324.92997"
106019,forest,,,"34280.6718"
106027,forest,,,"3667.49568"
106095,forest,,,"3729.92791"
106126,forest,,,"5635.33482"
106133,forest,,,"1724.12847"
106333,forest,,,"339506.417"
106476,forest,,,"290118.595"
106477,forest,,,"2389.04185"
106539,forest,,,"1752.79798"
106554,forest,,,"55149.4475"
106635,forest,,,"7314.34950"
106660,forest,,,"47834.3818"
106823,forest,,,"86041.3587"
106829,forest,,,"837.719694"
106831,forest,,,"9141.34694"
106832,forest,,,"723.550221"
106842,forest,,,"37457.3442"
106871,forest,,,"1.70523140"
106903,forest,,,"2135.64810"
107068,forest,,,"3056.55125"
107114,forest,,,"115054.084"
107179,forest,,,"260401.574"
107204,forest,,,"3173.53486"
107268,forest,,,"3745.21505"
107333,forest,,,"17241.9677"
107459,forest,,,"950.340926"
107468,forest,,,"65552.2415"
107469,forest,,,"811456.955"
107477,forest,,,"535.510862"
107496,forest,,,"1761.25026"
107531,forest,,,"116944.191"
107580,forest,,,"3860.90951"
107583,forest,,,"740351.701"
107605,forest,,,"25.1182401"
107766,forest,,,"1018.63031"
107767,forest,,,"964.219090"
107781,forest,,,"4387.32709"
107801,forest,,,"4992.97560"
107814,forest,,,"41190.7462"
107820,forest,,,"1934.75715"
107865,forest,,,"900.391664"
107888,forest,,,"2715.22535"
107918,forest,,,"1554.19596"
108411,forest,,,"1769.52682"
108581,forest,,,"694821.100"
108616,forest,,,"94543.2286"
108621,forest,,,"5044.83362"
108634,forest,,,"3181.60995"
108764,forest,,,"1183660.39"
108855,forest,,,"215.930741"
108900,forest,,,"265888.214"
108944,forest,,,"1065.71891"
109087,forest,,,"77478.4057"
109283,forest,,,"1721.97413"
109300,forest,,,"56588.4292"
