fid,class,natura_cod,status,area
100708,forest,,,"20918.6231"
100921,forest,,,"2028.37155"
100935,forest,,,"992.951263"
101003,forest,,,"545.397403"
101088,forest,,,"14353.9550"
101280,forest,,,"761.540857"
101325,forest,,,"6026.69434"
101584,forest,,,"1981.87626"
101647,forest,,,"214.206760"
102106,forest,,,"885.494431"
102620,forest,,,"230.637626"
102872,forest,,,"8841.34420"
102892,forest,,,"859.301142"
102949,forest,,,"1825.05772"
103116,forest,,,"5545.35732"
103715,forest,,,"640.264207"
103722,forest,,,"163.601404"
104420,forest,,,"328.434056"
104447,forest,,,"608.368594"
104840,forest,,,"993.344927"
104928,forest,,,"1384.79968"
105120,forest,,,"1174.11472"
105709,forest,,,"4273.36292"
105835,forest,,,"1835.65102"
105883,forest,,,"1093.98080"
106431,forest,,,"226.662594"
106684,forest,,,"9.48920665"
106758,forest,,,"2367.88957"
106870,forest,,,"1520.12645"
106886,forest,,,"7151.46209"
106920,forest,,,"1442.28352"
107142,forest,,,"291.500984"
107240,forest,,,"139.506626"
107385,forest,,,"121.757415"
107481,forest,,,"8762.77746"
107511,forest,,,"281.366825"
107650,forest,,,"1256.34184"
107745,forest,,,"1166.22677"
107759,forest,,,"22.1577552"
107765,forest,,,"98.1764258"
107799,forest,,,"17294.1823"
107821,forest,,,"21458.9514"
107841,forest,,,"33596.9538"
108331,forest,,,"176.158281"
108339,forest,,,"1253.48961"
108456,forest,,,"8284.42193"
108543,forest,,,"19282.8875"
108752,forest,,,"7136.48810"
109421,forest,,,"2508.83614"
109521,forest,,,"387.750638"
109550,forest,,,"873.874879"
109601,forest,,,"13297.6497"
109660,forest,,,"910.571700"
109668,forest,,,"362.474733"
109670,forest,,,"194.996310"
109739,forest,,,"2919.60196"
109790,forest,,,"6122.68647"
109878,forest,,,"255.607171"
109901,forest,,,"1931.06885"
110105,forest,,,"234.149429"
110129,forest,,,"3972.38078"
110195,forest,,,"582.444496"
110261,forest,,,"2655.48416"
110307,forest,,,"4683.99051"
110332,forest,,,"765.008612"
110436,forest,,,"2549.25876"
110654,forest,,,"2072.26201"
110668,forest,,,"929.279568"
110673,forest,,,"2468.88516"
110849,forest,,,"1274.75484"
110857,forest,,,"1233.66475"
110899,forest,,,"199.388815"
110909,forest,,,"12951.3178"
110929,forest,,,"31903.3733"
111065,forest,,,"1227.85564"
111105,forest,,,"692.383896"
111123,forest,,,"105548.610"
111127,forest,,,"24292.2571"
111210,forest,,,"332.529155"
111312,forest,,,"388.381000"
111339,forest,,,"4708.68520"
111395,forest,,,"256.433097"
111465,forest,,,"1927.78501"
111482,forest,,,"527.755370"
111487,forest,,,"342.988539"
111493,forest,,,"182.794515"
111985,forest,,,"4102.24029"
112051,forest,,,"211.362692"
112098,forest,,,"1452.22219"
112522,forest,,,"41232.5728"
112531,forest,,,"182.685653"
112614,forest,,,"565.643734"
112634,forest,,,"1825.44918"
112683,forest,,,"6715.82779"
112787,forest,,,"91.8587029"
112879,forest,,,"327.058532"
112990,forest,,,"256.934503"
113241,forest,,,"1519.75255"
113334,forest,,,"368.726567"
113426,forest,,,"5207.68662"
113437,forest,,,"1510.81525"
113515,forest,,,"8028.20586"
113557,forest,,,"2226.95834"
113562,forest,,,"3868.94112"
113579,forest,,,"1847.65345"
113633,forest,,,"1913.47908"
113655,forest,,,"231.499637"
113671,forest,,,"293.688073"
113672,forest,,,"1366.97168"
113695,forest,,,"1191.44603"
113704,forest,,,"8610.26060"
113776,forest,,,"3098.36403"
113906,forest,,,"4736.19243"
113922,forest,,,"271.299777"
113970,forest,,,"4701.78053"
113979,forest,,,"106422.751"
113989,forest,,,"181.752406"
114078,forest,,,"5815.95302"
114083,forest,,,"10118.9979"
114187,forest,,,"19492.1643"
114258,forest,,,"5166.70243"
114273,forest,,,"3437.93345"
114297,forest,,,"41165.0547"
114301,forest,,,"408.445521"
114319,forest,,,"3435.87887"
114320,forest,,,"15798.9611"
114376,forest,,,"879.659401"
114445,forest,,,"320.507932"
114568,forest,,,"14391.6311"
114621,forest,,,"1851.17422"
114628,forest,,,"6413.07624"
114659,forest,,,"2018.41934"
114662,forest,,,"760.535016"
114664,forest,,,"223.011508"
114666,forest,,,"549.461101"
114673,forest,,,"2891.63857"
114688,forest,,,"5345.48071"
114689,forest,,,"3476.26039"
114691,forest,,,"3199.07099"
114697,forest,,,"1116.89431"
114709,forest,,,"42684.2153"
114719,forest,,,"41.7689623"
114721,forest,,,"806.085948"
114800,forest,,,"64684.2420"
114890,forest,,,"423.387472"
114897,forest,,,"321.781573"
114901,forest,,,"8523.20967"
115108,forest,,,"5319.99539"
115180,forest,,,"592.999249"
115252,forest,,,"1746.94939"
115280,forest,,,"12234.2281"
115286,forest,,,"110.333527"
115294,forest,,,"2699.75359"
115299,forest,,,"650.306763"
115326,forest,,,"45717.4324"
115365,forest,,,"1942.95355"
115499,forest,,,"357.699798"
115585,forest,,,"59747.5316"
115586,forest,,,"4759.47332"
115848,forest,,,"5051.79013"
115901,forest,,,"48215.6321"
115925,forest,,,"349.187281"
115995,perm,,,"0.08455510"
116157,perm,,,"43.1569807"
116247,perm,,,"162.822516"
116308,perm,,,"23.2056481"
116350,perm,,,"1.34331356"
116380,perm,,,"18.4735067"
116415,perm,,,"2.88634394"
116494,perm,,,"58.6522785"
116618,perm,,,"121.468640"
116624,perm,,,"208.266070"
116642,perm,,,"167.011425"
116667,perm,,,"691.280826"
116865,perm,,,"129.718756"
116977,perm,,,"247.744720"
117125,perm,,,"168.030431"
117168,perm,,,"63.6033952"
117283,perm,,,"74.3125960"
117376,perm,,,"84.8019853"
117979,perm,,,"122.965299"
118062,perm,,,"115.998569"
118284,perm,,,"207.290705"
118400,perm,,,"144.692247"
118402,perm,,,"276.966327"
118587,perm,,,"302.573774"
118687,perm,,,"53.5326924"
118688,perm,,,"3.46037630"
118692,perm,,,"130.242496"
118726,perm,,,"26.1374516"
118797,perm,,,"72.3799257"
118814,perm,,,"13.2988891"
118825,perm,,,"379.505163"
119178,perm,,,"116.544185"
119297,perm,,,"327.471661"
119304,perm,,,"55.8907098"
119421,perm,,,"76.8742452"
119428,perm,,,"260.493515"
119490,perm,,,"431.196692"
119501,perm,,,"44.7673720"
119503,perm,,,"431.000548"
119508,perm,,,"216.111281"
119516,perm,,,"1204.83427"
119568,perm,,,"34.8204731"
119742,perm,,,"290.381170"
119755,perm,,,"161.403228"
119852,perm,,,"183.133954"
119877,perm,,,"0.53066854"
119900,perm,,,"14.7289792"
119924,perm,,,"38.4732354"
119993,natura2000,2140*,II,"345.655506"
120038,natura2000,"1210",I,"252.488378"
120041,natura2000,"1210",I,"962.178423"
120250,natura2000,6270*,III,"4006.09780"
120260,natura2000,"1220",I,"311.462414"
120264,natura2000,"1640",I,"2317.47867"
120265,natura2000,"1640",I,"3795.87117"
120268,natura2000,"1640",I,"196.447521"
120787,natura2000,6270*,III,"486.959731"
120794,natura2000,9010*,I,"19852.3691"
120841,natura2000,"3260",I,"695.630412"
121162,natura2000,9010*,I,"2.83440164"
121579,natura2000,"2110",III,"491.450846"
121581,natura2000,"2120",III,"2445.20133"
121583,natura2000,"1210",III,"2151.87131"
121588,natura2000,"1210",I,"3180.78356"
121589,natura2000,"1620",II,"7996.16092"
121590,natura2000,"1620",III,"3298.91803"
121591,natura2000,"1640",II,"26479.4264"
121592,natura2000,"1620",III,"488.313212"
121593,natura2000,"1640",II,"282.214315"
121594,natura2000,"1220",II,"634.100800"
121602,natura2000,"1640",III,"7491.47635"
121603,natura2000,"1220",III,"4511.13150"
121611,natura2000,"2120",III,"649.516944"
121613,natura2000,"1210",II,"518.776775"
121614,natura2000,"1220",III,"101.177007"
121615,natura2000,"1210",II,"149.802269"
121821,natura2000,9080*,I,"123.311740"
121884,natura2000,6530*,III,"20.3721875"
121938,natura2000,9080*,II,"1233.75080"
122050,natura2000,"1220",III,"892.390163"
122822,natura2000,"9070",III,"536.612120"
123030,natura2000,1630*,I,"17709.8606"
123530,natura2000,9080*,II,"101.194358"
123531,natura2000,9080*,II,"13084.4230"
123534,natura2000,9180*,I,"452.577945"
124934,natura2000,9010*,II,"3464.16997"
124950,natura2000,9010*,II,"546.272954"
124951,natura2000,9010*,I,"635.768322"
125122,natura2000,9010*,I,"1.04891002"
125125,natura2000,9010*,I,"31723.4187"
125126,natura2000,9010*,II,"4255.77981"
125133,natura2000,9010*,I,"4437.67390"
