fid,class,natura_cod,status,area
100752,forest,,,"0.71146353"
101003,forest,,,"618.965402"
101028,forest,,,"77.0141830"
101805,forest,,,"3230.44201"
102365,forest,,,"60.8833839"
102775,forest,,,"96508.2690"
102872,forest,,,"1396354.24"
103643,forest,,,"27.5691366"
103957,forest,,,"57.8474097"
103990,forest,,,"1206.87285"
104329,forest,,,"65915.1977"
104372,forest,,,"14.1788180"
104475,forest,,,"69.0132089"
104485,forest,,,"56.9808702"
104528,forest,,,"18871.0790"
104793,forest,,,"2389.20949"
104928,forest,,,"7937.59185"
105227,forest,,,"1569.05897"
105258,forest,,,"144.128756"
105379,forest,,,"2198.59063"
106279,forest,,,"78.8049621"
106947,forest,,,"40.0395336"
107196,forest,,,"14.7114543"
107248,forest,,,"398.421018"
107460,forest,,,"1678.29616"
107486,forest,,,"375.067835"
107819,forest,,,"4974.01333"
108139,forest,,,"0.05388014"
108369,forest,,,"2854.57097"
108449,forest,,,"40.8740495"
108543,forest,,,"2759392.02"
108556,forest,,,"73.9909059"
108765,forest,,,"89.9437994"
109453,forest,,,"1383.42653"
109479,forest,,,"41.7978750"
109521,forest,,,"147676.561"
109668,forest,,,"4040857.34"
109669,forest,,,"2670815.90"
109670,forest,,,"126658.676"
109747,forest,,,"62975.7686"
109851,forest,,,"204.059387"
109862,forest,,,"19.3549115"
109901,forest,,,"5373791.75"
110129,forest,,,"2352694.20"
110857,forest,,,"13.9581678"
111123,forest,,,"50546.9208"
111220,forest,,,"416.348154"
111263,forest,,,"46.2602165"
111350,forest,,,"281.444848"
111465,forest,,,"1114973.23"
111503,forest,,,"49.5527850"
111610,forest,,,"18137.5676"
111658,forest,,,"81.2018190"
111680,forest,,,"1549.75594"
111723,forest,,,"950.425181"
111816,forest,,,"266.685049"
111829,forest,,,"65115.4931"
111897,forest,,,"4611.48975"
111923,forest,,,"118.780384"
112028,forest,,,"265206.290"
112051,forest,,,"3210.34102"
112094,forest,,,"33.5688574"
112522,forest,,,"1199737.64"
112577,forest,,,"141207.423"
112953,forest,,,"745.531512"
113267,forest,,,"2044.85566"
113567,forest,,,"1066.73479"
113776,forest,,,"1817.21404"
113844,forest,,,"390285.955"
113970,forest,,,"49.8150445"
113979,forest,,,"255144.375"
114037,forest,,,"55634.4183"
114187,forest,,,"482953.748"
114258,forest,,,"2093362.73"
114297,forest,,,"831.405080"
114319,forest,,,"63087.9199"
114320,forest,,,"5788448.60"
114382,forest,,,"68246.9512"
114429,forest,,,"165.511786"
114436,forest,,,"800.454811"
114528,forest,,,"764.149604"
114568,forest,,,"2940883.08"
114628,forest,,,"111774.745"
114658,forest,,,"2395.06279"
114664,forest,,,"6716441.80"
114666,forest,,,"12263.6418"
114670,forest,,,"21780.2299"
114673,forest,,,"60197.6268"
114685,forest,,,"2073.34035"
114689,forest,,,"147.566425"
114692,forest,,,"2623.18629"
114694,forest,,,"150.044473"
114709,forest,,,"7194187.93"
114710,forest,,,"142.169241"
114719,forest,,,"1849.19524"
114737,forest,,,"9093.43689"
114800,forest,,,"3358100.33"
114879,forest,,,"470.539826"
114901,forest,,,"226727.049"
115108,forest,,,"331541.707"
115128,forest,,,"31050.2643"
115180,forest,,,"664775.081"
115245,forest,,,"130505.355"
115252,forest,,,"176361.536"
115280,forest,,,"5405993.13"
115294,forest,,,"871096.731"
115326,forest,,,"4320058.57"
115366,forest,,,"29651.5484"
115374,forest,,,"6910.40542"
115376,forest,,,"2909.89808"
115498,forest,,,"43.3658382"
115563,forest,,,"200.766044"
115585,forest,,,"1725439.41"
115796,forest,,,"131.851925"
115848,forest,,,"84182.5094"
115901,forest,,,"3050235.46"
115925,forest,,,"178036.539"
116191,perm,,,"111.751306"
116247,perm,,,"88.7531402"
116380,perm,,,"53.0356361"
116494,perm,,,"36.5979700"
116592,perm,,,"0.41102034"
116618,perm,,,"244.512262"
116624,perm,,,"318.841966"
116801,perm,,,"177.061675"
117323,perm,,,"178.062708"
117402,perm,,,"89.7682664"
117413,perm,,,"88.3239821"
117614,perm,,,"0.53392731"
117970,perm,,,"0.00336223"
117979,perm,,,"93.7485160"
118062,perm,,,"43.2700968"
118108,perm,,,"324.876750"
118284,perm,,,"11.9107082"
118361,perm,,,"436.100682"
118400,perm,,,"48.3190684"
118405,perm,,,"166.037210"
118683,perm,,,"174.933665"
118692,perm,,,"5.95646975"
118693,perm,,,"74.7217047"
118797,perm,,,"31.4390916"
118814,perm,,,"36.6613261"
119177,perm,,,"176.844281"
119428,perm,,,"37.1299218"
119742,perm,,,"15.2546854"
119746,perm,,,"93.2529643"
119993,natura2000,2140*,II,"640.785951"
119996,natura2000,91D0*,I,"15482.7415"
119997,natura2000,91D0*,I,"5888.90152"
119998,natura2000,91D0*,I,"40720.7539"
119999,natura2000,91D0*,I,"4527.25817"
120004,natura2000,6210*,III,"2802.66331"
120010,natura2000,91D0*,I,"23615.3685"
120011,natura2000,91D0*,I,"5621.11446"
120013,natura2000,91D0*,I,"3894.72148"
120014,natura2000,91D0*,I,"2674.37796"
120027,natura2000,9080*,III,"0.04445549"
120028,natura2000,9080*,III,"12333.3062"
120034,natura2000,9080*,I,"14866.2716"
120035,natura2000,9080*,I,"1997.80535"
120036,natura2000,9080*,I,"1440.16704"
120037,natura2000,"7230",III,"1063.67788"
120078,natura2000,7110*,I,"7050.69087"
120125,natura2000,9010*,I,"241.291062"
120127,natura2000,9010*,I,"4813.21361"
120128,natura2000,9010*,I,"2.12267265"
120250,natura2000,6270*,III,"1814.63932"
120251,natura2000,91D0*,I,"177342.034"
120252,natura2000,91D0*,I,"528107.144"
120264,natura2000,"1640",I,"2851.09712"
120292,natura2000,"7120",III,"753.749991"
120293,natura2000,"7120",III,"12146.7141"
120294,natura2000,9010*,III,"38.1619859"
120295,natura2000,91E0*,III,"5465.78428"
120296,natura2000,9080*,III,"1370.77103"
120297,natura2000,9080*,III,"537.069036"
120779,natura2000,"5130",III,"12014.2872"
120780,natura2000,"5130",III,"914.584186"
120787,natura2000,6270*,III,"3306.66909"
120788,natura2000,6270*,III,"4097.29727"
120789,natura2000,6270*,III,"324.290586"
120790,natura2000,6270*,III,"1729.85237"
120791,natura2000,6270*,III,"125.957701"
120795,natura2000,9010*,I,"29.5072158"
120796,natura2000,9010*,I,"84.7686280"
120797,natura2000,9010*,I,"53071.3634"
120801,natura2000,9010*,I,"6593.93867"
120803,natura2000,6270*,III,"37092.7839"
120807,natura2000,6270*,III,"25.2748325"
120808,natura2000,6270*,III,"10322.3655"
120824,natura2000,9010*,I,"180370.019"
120825,natura2000,9010*,I,"15805.6754"
120826,natura2000,9010*,I,"61329.3640"
120829,natura2000,9080*,II,"73348.0686"
120832,natura2000,9080*,II,"1398.16281"
120841,natura2000,"3260",I,"1904.98726"
120842,natura2000,"3260",I,"6891.65102"
120875,natura2000,1630*,III,"467.662142"
120891,natura2000,9010*,I,"2021.60661"
120892,natura2000,9010*,I,"5175.09330"
120901,natura2000,9010*,I,"4777.10755"
120914,natura2000,9010*,I,"2544.86917"
120916,natura2000,9010*,I,"18065.1177"
120917,natura2000,9010*,I,"5998.05993"
120918,natura2000,9010*,I,"15732.6989"
120919,natura2000,9010*,I,"5924.34430"
120922,natura2000,9010*,I,"9675.70915"
120923,natura2000,9010*,I,"5731.78283"
120924,natura2000,9010*,I,"23953.6844"
120925,natura2000,9010*,I,"13258.9307"
120926,natura2000,9010*,I,"20595.6791"
120928,natura2000,9010*,I,"2190.13957"
120933,natura2000,9010*,I,"17497.0308"
120934,natura2000,9010*,I,"8005.08464"
120935,natura2000,9010*,I,"2208.90126"
120936,natura2000,9010*,I,"5320.15227"
120937,natura2000,9010*,I,"11765.8473"
120938,natura2000,9010*,I,"35437.9722"
120939,natura2000,9010*,I,"9522.82215"
120940,natura2000,9010*,I,"33879.7178"
120941,natura2000,9010*,I,"29539.9120"
120942,natura2000,9010*,I,"5156.56708"
120943,natura2000,9010*,I,"2556.59177"
120944,natura2000,9010*,I,"27444.3037"
120945,natura2000,9010*,I,"92744.5106"
120949,natura2000,9010*,I,"11160.7119"
120950,natura2000,9010*,I,"9099.83804"
120951,natura2000,9010*,I,"8626.89738"
120952,natura2000,9010*,I,"35418.2655"
120953,natura2000,9010*,I,"5326.72247"
120954,natura2000,9010*,I,"32269.6275"
120989,natura2000,9010*,I,"6152.46137"
120990,natura2000,9010*,I,"15240.4954"
120991,natura2000,9010*,I,"911.915925"
120992,natura2000,9010*,I,"2749.27878"
120993,natura2000,9010*,I,"26762.8586"
120994,natura2000,9010*,I,"8919.57246"
120995,natura2000,9010*,I,"2624.81175"
120996,natura2000,9010*,I,"4065.97749"
120997,natura2000,9010*,I,"1382.96910"
121003,natura2000,9010*,I,"205.062763"
121020,natura2000,9010*,I,"29526.7301"
121021,natura2000,9010*,I,"1691.81557"
121022,natura2000,9010*,I,"11177.1114"
121023,natura2000,9010*,I,"7904.70884"
121024,natura2000,9010*,I,"7128.40844"
121025,natura2000,9010*,I,"16828.1999"
121026,natura2000,9010*,I,"7791.79578"
121027,natura2000,9010*,I,"31233.7767"
121028,natura2000,9010*,I,"6408.92848"
121037,natura2000,9010*,I,"0.29698545"
121040,natura2000,9010*,I,"2331.37558"
121041,natura2000,9010*,I,"5745.45800"
121042,natura2000,9010*,I,"2734.93710"
121070,natura2000,9010*,I,"49004.7821"
121072,natura2000,9010*,I,"16403.1568"
121073,natura2000,9010*,I,"22611.4657"
121080,natura2000,9010*,I,"6265.41977"
121081,natura2000,9010*,I,"55418.7725"
121082,natura2000,9010*,I,"66.9021683"
121083,natura2000,9010*,I,"1.96993593"
121086,natura2000,9010*,I,"0.00305024"
121087,natura2000,9010*,I,"0.69749685"
121089,natura2000,9010*,I,"4737.23956"
121093,natura2000,9010*,I,"29.9886062"
121096,natura2000,9010*,I,"5159.59240"
121097,natura2000,9010*,I,"14831.8696"
121111,natura2000,9010*,I,"10449.7568"
121112,natura2000,9010*,I,"14556.3396"
121113,natura2000,9010*,I,"2853.85505"
121114,natura2000,9010*,I,"1536.50948"
121115,natura2000,9010*,I,"3383.98268"
121116,natura2000,9010*,I,"5949.59369"
121117,natura2000,9010*,I,"39027.1451"
121118,natura2000,9010*,I,"23612.9659"
121119,natura2000,9010*,I,"1795.21881"
121120,natura2000,9010*,I,"4.75478129"
121125,natura2000,9010*,III,"7759.04400"
121127,natura2000,9010*,III,"15856.5335"
121128,natura2000,9010*,III,"27979.2674"
121132,natura2000,9010*,III,"14660.8192"
121133,natura2000,9010*,III,"24906.3974"
121134,natura2000,9010*,III,"5496.42194"
121135,natura2000,9010*,III,"3989.27956"
121136,natura2000,9010*,III,"4722.64327"
121137,natura2000,9010*,III,"6669.46231"
121138,natura2000,9010*,III,"20369.2369"
121139,natura2000,9010*,III,"9318.70664"
121140,natura2000,9010*,I,"27.7900682"
121141,natura2000,9010*,I,"13.4072949"
121147,natura2000,9010*,I,"8.94579965"
121151,natura2000,9010*,I,"14338.8789"
121152,natura2000,9010*,I,"15106.9816"
121153,natura2000,9010*,I,"1899.85401"
121154,natura2000,9010*,I,"9101.16572"
121155,natura2000,9010*,I,"22981.9104"
121156,natura2000,9010*,I,"12272.9882"
121158,natura2000,9010*,I,"8295.56786"
121159,natura2000,9010*,I,"13238.6446"
