fid,class,natura_cod,status,area
100668,forest,,,"572.130006"
100672,forest,,,"3828.54551"
100673,forest,,,"3755.78389"
100752,forest,,,"889.637395"
100755,forest,,,"744.425688"
100757,forest,,,"364.926575"
100758,forest,,,"2766.41814"
100768,forest,,,"190.399012"
100778,forest,,,"1165.65547"
100847,forest,,,"192.049166"
100851,forest,,,"744.231194"
100901,forest,,,"3295.22052"
100902,forest,,,"830.439991"
100907,forest,,,"170.594737"
100921,forest,,,"400.975341"
100935,forest,,,"62298.4059"
100944,forest,,,"15295.4352"
100957,forest,,,"12081.6526"
100981,forest,,,"3211.98327"
100987,forest,,,"4745.09948"
101003,forest,,,"181958.068"
101021,forest,,,"552.023177"
101061,forest,,,"5200.78550"
101106,forest,,,"872.689412"
101188,forest,,,"896.794980"
101267,forest,,,"7889.59601"
101272,forest,,,"2000.91367"
101280,forest,,,"3.33063673"
101312,forest,,,"1307.86211"
101325,forest,,,"80514.3856"
101332,forest,,,"4090.38051"
101403,forest,,,"5500.46128"
101425,forest,,,"5026.88174"
101432,forest,,,"2296.05058"
101436,forest,,,"2874.52195"
101523,forest,,,"5282.29479"
101574,forest,,,"84254.3198"
101603,forest,,,"1181.85408"
101611,forest,,,"558.200312"
101628,forest,,,"2909.35993"
101635,forest,,,"2641.60518"
101647,forest,,,"19761.2622"
101657,forest,,,"3545.47132"
101743,forest,,,"137.705454"
101789,forest,,,"4684.63012"
101805,forest,,,"2654.54419"
101825,forest,,,"791.224081"
101829,forest,,,"549.184932"
101904,forest,,,"162.446182"
101949,forest,,,"5.10388442"
102178,forest,,,"2582.10277"
102271,forest,,,"8.28704239"
102543,forest,,,"435.921525"
102608,forest,,,"1411.75634"
102775,forest,,,"209121.499"
102832,forest,,,"197.045236"
102872,forest,,,"178525.703"
102892,forest,,,"54612.6757"
103001,forest,,,"1327.79130"
103116,forest,,,"219.623716"
103136,forest,,,"601.374182"
103187,forest,,,"3839.09911"
103204,forest,,,"2962.90161"
103393,forest,,,"1364.83355"
103412,forest,,,"40930.7142"
103462,forest,,,"93577.6996"
103624,forest,,,"372.859063"
103628,forest,,,"14317.0150"
103629,forest,,,"4290.71454"
103636,forest,,,"2365.18586"
103642,forest,,,"316.757331"
103643,forest,,,"20018.8591"
103679,forest,,,"4776.11955"
103777,forest,,,"6485.90138"
103784,forest,,,"38752.7917"
103792,forest,,,"7689.95487"
103871,forest,,,"889.954043"
103925,forest,,,"1330.11787"
103930,forest,,,"9239.45757"
103957,forest,,,"624.654192"
103990,forest,,,"1235.64599"
104023,forest,,,"691.315962"
104026,forest,,,"6116.12170"
104041,forest,,,"48319.0320"
104090,forest,,,"1893.11879"
104117,forest,,,"346.682414"
104173,forest,,,"4583.19470"
104296,forest,,,"505.784328"
104312,forest,,,"41436.0114"
104362,forest,,,"2371.64119"
104372,forest,,,"1855.46229"
104420,forest,,,"19673.5827"
104422,forest,,,"2698.16398"
104428,forest,,,"3568.79836"
104429,forest,,,"462.601062"
104475,forest,,,"263.087435"
104485,forest,,,"1723.23473"
104589,forest,,,"3225.64984"
104595,forest,,,"1818.76820"
104619,forest,,,"32.4240742"
104627,forest,,,"2520.05233"
104706,forest,,,"11257.2077"
104847,forest,,,"24531.5210"
104890,forest,,,"814.888197"
104974,forest,,,"6260.86784"
104985,forest,,,"10730.1746"
105120,forest,,,"1341.08839"
105177,forest,,,"11731.2704"
105217,forest,,,"12851.1949"
105227,forest,,,"452323.063"
105245,forest,,,"57054.5731"
105251,forest,,,"935.283541"
105260,forest,,,"1281.99845"
105329,forest,,,"9027.77943"
105379,forest,,,"440.881503"
105473,forest,,,"606.764986"
105546,forest,,,"973.136105"
105579,forest,,,"1046.28262"
105674,forest,,,"1168.34160"
105677,forest,,,"2172.56878"
105709,forest,,,"112643.639"
105787,forest,,,"1397.16766"
105834,forest,,,"2501.69281"
105835,forest,,,"2144.01435"
105837,forest,,,"39626.3686"
105884,forest,,,"18278.6299"
105885,forest,,,"821.004370"
105981,forest,,,"495.490961"
105984,forest,,,"8243.83908"
105991,forest,,,"3783.97434"
106094,forest,,,"144.659978"
106118,forest,,,"425.814511"
106158,forest,,,"5479.10761"
106279,forest,,,"759.092358"
106411,forest,,,"436.507756"
106422,forest,,,"89557.0743"
106431,forest,,,"21513.1477"
106433,forest,,,"3586.07939"
106450,forest,,,"7311.12104"
106452,forest,,,"158.564387"
106499,forest,,,"17765.7837"
106508,forest,,,"302.022798"
106575,forest,,,"1302.58760"
106600,forest,,,"1014.66385"
106658,forest,,,"1187.84962"
106664,forest,,,"799.337344"
106675,forest,,,"13523.9930"
106676,forest,,,"454.892842"
106677,forest,,,"771.342340"
106694,forest,,,"2397.93607"
106717,forest,,,"12997.5597"
106727,forest,,,"2091.60715"
106730,forest,,,"6726.46684"
106773,forest,,,"1004.01583"
106780,forest,,,"133.085348"
106845,forest,,,"1331.27539"
106870,forest,,,"9780.21479"
106919,forest,,,"417.335701"
106920,forest,,,"0.08910832"
106947,forest,,,"978.844103"
106955,forest,,,"667.014990"
107115,forest,,,"335.134875"
107127,forest,,,"912.421219"
107142,forest,,,"154771.393"
107178,forest,,,"899.169010"
107194,forest,,,"7973.35656"
107196,forest,,,"5.65588560"
107214,forest,,,"1865.79513"
107228,forest,,,"11320.5198"
107239,forest,,,"242.367782"
107240,forest,,,"5917.17289"
107241,forest,,,"22392.3339"
107248,forest,,,"244071.457"
107356,forest,,,"29914.0064"
107385,forest,,,"33455.1231"
107400,forest,,,"3253.77349"
107401,forest,,,"2777.39282"
107446,forest,,,"1716.39335"
107481,forest,,,"10.5867266"
107486,forest,,,"12915.8109"
107511,forest,,,"15120.5005"
107650,forest,,,"24637.4761"
107742,forest,,,"118.502230"
107745,forest,,,"2872.51764"
107756,forest,,,"8276.19862"
107759,forest,,,"1925.85599"
107799,forest,,,"29901.7139"
107812,forest,,,"490.598001"
107821,forest,,,"9533.77524"
107841,forest,,,"531.224449"
107875,forest,,,"936.963578"
107901,forest,,,"7514.74362"
107967,forest,,,"1685.39754"
108015,forest,,,"22738.1081"
108094,forest,,,"649.482086"
108104,forest,,,"1231.80758"
108139,forest,,,"5432.43305"
108194,forest,,,"19493.6345"
108234,forest,,,"70939.3713"
108236,forest,,,"50615.8354"
108237,forest,,,"8429.32664"
108301,forest,,,"5964.05219"
108327,forest,,,"1564.82906"
108369,forest,,,"11615.2017"
108449,forest,,,"1050.92270"
108543,forest,,,"332240.494"
108556,forest,,,"152.218480"
108653,forest,,,"2076.34237"
108723,forest,,,"719.101765"
108752,forest,,,"360060.850"
108765,forest,,,"1154.58124"
108791,forest,,,"1940.91459"
108801,forest,,,"2637.34242"
108813,forest,,,"4345.08672"
109074,forest,,,"12716.2114"
109178,forest,,,"1688.25434"
109184,forest,,,"18227.3701"
109214,forest,,,"371.535235"
109253,forest,,,"8429.47291"
109262,forest,,,"866.220938"
109269,forest,,,"47.4352643"
109421,forest,,,"5433.69491"
109445,forest,,,"832.255262"
109453,forest,,,"30175.3959"
109454,forest,,,"2627.39104"
109455,forest,,,"169.193605"
109479,forest,,,"8291.11464"
109515,forest,,,"3323.80911"
109521,forest,,,"242885.004"
