fid,class,natura_cod,status,area
71771,forest,,,"178.146634"
71773,forest,,,"4225.51941"
71779,forest,,,"6867.51450"
71780,forest,,,"591.009743"
71781,forest,,,"397.572372"
71802,forest,,,"3158.38191"
71804,forest,,,"200.556901"
71833,forest,,,"229.802902"
71838,forest,,,"968.715173"
71915,forest,,,"126722.391"
71958,forest,,,"1498.32025"
72036,forest,,,"2169.27760"
72107,forest,,,"5594.53801"
72110,forest,,,"1386.58863"
72149,forest,,,"163.615857"
72158,forest,,,"475.576663"
72209,forest,,,"3146.63161"
72224,forest,,,"7328.29159"
72232,forest,,,"956.809302"
72244,forest,,,"351.109321"
72289,forest,,,"814.644722"
72324,forest,,,"330.964000"
72328,forest,,,"441.973353"
72367,forest,,,"22.4281477"
72407,forest,,,"4243.15080"
72412,forest,,,"783.378399"
72436,forest,,,"205.100322"
72511,forest,,,"7449.15617"
72514,forest,,,"5527.39485"
72515,forest,,,"4138.15449"
72538,forest,,,"250.881061"
72542,forest,,,"6775.47619"
72547,forest,,,"813.338997"
72556,forest,,,"11807.8807"
72563,forest,,,"38591.0813"
72564,forest,,,"1756.00777"
72599,forest,,,"139.678993"
72601,forest,,,"9645.11993"
72605,forest,,,"1624.88465"
72651,forest,,,"27311.0777"
72655,forest,,,"1008.21629"
72701,forest,,,"1074.12230"
72711,forest,,,"3331.49440"
72748,forest,,,"684.834341"
72773,forest,,,"185210.472"
72781,forest,,,"8080.09930"
72827,forest,,,"2072.10624"
72885,forest,,,"2525.49630"
72951,forest,,,"890.143790"
72958,forest,,,"516.983253"
72987,forest,,,"17465.0041"
72994,forest,,,"851.120489"
73020,forest,,,"2632.42247"
73080,forest,,,"315.381186"
73126,forest,,,"973.525645"
73141,forest,,,"46.3907380"
73174,forest,,,"864.049454"
73223,forest,,,"467.666206"
73237,forest,,,"4050.21810"
73255,forest,,,"162.761239"
73333,forest,,,"19575.3003"
73343,forest,,,"2196.90012"
73527,forest,,,"957.236593"
73544,forest,,,"3337.35302"
73558,forest,,,"142275.936"
73565,forest,,,"537.868628"
73567,forest,,,"436.076341"
73593,forest,,,"211.641980"
73623,forest,,,"4301.66908"
73624,forest,,,"14478.4868"
73693,forest,,,"791.918609"
73750,forest,,,"10120.6280"
73788,forest,,,"484.423534"
73814,forest,,,"761.777522"
73819,forest,,,"241.532057"
73830,forest,,,"5835.17237"
73908,forest,,,"316.390372"
73920,forest,,,"201.846544"
73951,forest,,,"1573.32358"
73955,forest,,,"184.653755"
74023,forest,,,"332.890336"
74043,forest,,,"220.214441"
74124,forest,,,"1768.47352"
74142,forest,,,"188.623392"
74213,forest,,,"535.247472"
74219,forest,,,"216.195838"
74267,forest,,,"247.529733"
74285,forest,,,"4058.19223"
74315,forest,,,"962.808262"
74329,forest,,,"2378.05699"
74431,forest,,,"503.133767"
74474,forest,,,"20564.4595"
74492,forest,,,"5728.08116"
74500,forest,,,"321.141447"
74523,forest,,,"469.969812"
74527,forest,,,"16443.6490"
74531,forest,,,"363.731308"
74553,forest,,,"8980.13828"
74564,forest,,,"785.735000"
74700,forest,,,"379.286957"
74738,forest,,,"572.306654"
74806,forest,,,"138.112477"
74843,forest,,,"2689.67372"
74858,forest,,,"211.812727"
74917,forest,,,"114.152657"
75116,forest,,,"3210.20894"
75224,forest,,,"1498.86868"
75306,forest,,,"5414.18696"
75331,forest,,,"11525.1660"
75339,forest,,,"2455.72333"
75515,forest,,,"9539.73586"
75534,forest,,,"206.823692"
75539,forest,,,"834.092605"
75581,forest,,,"1274.70166"
75582,forest,,,"1194.27659"
75605,forest,,,"4412.40039"
75698,forest,,,"651.755098"
75711,forest,,,"707.894035"
75793,forest,,,"1121.72290"
75832,forest,,,"249.288334"
75847,forest,,,"137.224307"
75865,forest,,,"4628.39145"
75913,forest,,,"3491.62419"
75936,forest,,,"23.3497650"
75941,forest,,,"521.015424"
75976,forest,,,"1842.32100"
76032,forest,,,"4276.98718"
76072,forest,,,"478.418966"
76091,forest,,,"27971.9671"
76107,forest,,,"1947.08113"
76153,forest,,,"15479.8669"
76164,forest,,,"19436.4916"
76197,forest,,,"622.339066"
76308,forest,,,"1035.80245"
76337,forest,,,"56.0530205"
76353,forest,,,"3674.53181"
76388,forest,,,"294.634878"
76394,forest,,,"371.767774"
76416,forest,,,"972.098690"
76434,forest,,,"1780.82736"
76436,forest,,,"3436.21224"
76482,forest,,,"1665.67539"
76493,forest,,,"636.166969"
76501,forest,,,"232.472423"
76576,forest,,,"8919.38748"
76687,forest,,,"372.196432"
76727,forest,,,"234.015508"
76837,forest,,,"12888.5020"
76904,forest,,,"153.737081"
76923,forest,,,"1950.60541"
76953,forest,,,"461.402627"
77013,forest,,,"629.019705"
77017,forest,,,"177.652520"
77066,forest,,,"1405.11102"
77103,forest,,,"200.560376"
77107,forest,,,"532.039816"
77168,forest,,,"678.146776"
77287,forest,,,"648.245496"
77329,forest,,,"195.442350"
77348,forest,,,"1194.85803"
77427,forest,,,"675.805022"
77446,forest,,,"205.903997"
77500,forest,,,"0.50576913"
77603,forest,,,"2037.91365"
77607,forest,,,"167.814271"
77660,forest,,,"6012.54860"
77685,forest,,,"811.093756"
77708,forest,,,"3328.03551"
77733,forest,,,"203.112468"
77817,forest,,,"40466.6429"
77906,forest,,,"2038.83789"
77965,forest,,,"485.719616"
77968,forest,,,"239.386863"
78007,forest,,,"241.500044"
78122,forest,,,"0.04673349"
78157,forest,,,"215.850941"
78233,forest,,,"9506.56527"
78257,forest,,,"2021.42538"
