fid,class,natura_cod,status,area
71773,forest,,,"312335.555"
71779,forest,,,"26.0116429"
71781,forest,,,"91772.9976"
71867,forest,,,"98.5418799"
71916,forest,,,"28004.0689"
71923,forest,,,"76.6211419"
71930,forest,,,"100557.052"
71938,forest,,,"47.6367861"
71972,forest,,,"8759.03923"
72081,forest,,,"10.2806270"
72162,forest,,,"5129.29419"
72165,forest,,,"13304.0243"
72179,forest,,,"19107.7625"
72246,forest,,,"45990.9737"
72355,forest,,,"183.757438"
72413,forest,,,"1237.05372"
72428,forest,,,"22515.7795"
72436,forest,,,"0.00028872"
72472,forest,,,"2186.33829"
72488,forest,,,"640.175059"
72492,forest,,,"16.7549628"
72493,forest,,,"460.985085"
72504,forest,,,"14143.8148"
72509,forest,,,"16011.4157"
72524,forest,,,"8.54155973"
72592,forest,,,"69.8995180"
72599,forest,,,"219763.534"
72651,forest,,,"335497.534"
72655,forest,,,"495316.596"
72773,forest,,,"3251485.93"
72860,forest,,,"24.4074674"
72904,forest,,,"12.4039754"
72912,forest,,,"11254.9508"
72946,forest,,,"41080.1962"
72968,forest,,,"30021.2861"
72989,forest,,,"461.876859"
73093,forest,,,"50.5134279"
73121,forest,,,"3718.13880"
73126,forest,,,"0.06563832"
73131,forest,,,"1607.43212"
73164,forest,,,"4573.69720"
73225,forest,,,"2.70678676"
73314,forest,,,"940.483903"
73469,forest,,,"20.2775121"
73544,forest,,,"775.590238"
73624,forest,,,"1880097.58"
73680,forest,,,"4239.77357"
73704,forest,,,"938.294027"
73744,forest,,,"834.687933"
73750,forest,,,"1040280.97"
73829,forest,,,"2252.16055"
73900,forest,,,"3473.74944"
73937,forest,,,"3682.97349"
73960,forest,,,"267.813203"
73985,forest,,,"4286.05104"
74000,forest,,,"1711.02029"
74085,forest,,,"9293.45205"
74155,forest,,,"938.757242"
74167,forest,,,"5117.81824"
74311,forest,,,"6720.43455"
74315,forest,,,"32652.8044"
74350,forest,,,"3585.44781"
74378,forest,,,"21.3295271"
74393,forest,,,"1206.13804"
74431,forest,,,"182991.897"
74500,forest,,,"26934.1350"
74543,forest,,,"4712.78179"
74561,forest,,,"1015.18777"
74691,forest,,,"200.061073"
74712,forest,,,"4331.27085"
74837,forest,,,"9888.32653"
74855,forest,,,"11189.7214"
74981,forest,,,"29.6837088"
74990,forest,,,"3352.24706"
75143,forest,,,"76616.6816"
75193,forest,,,"199004.498"
75207,forest,,,"6421.08721"
75212,forest,,,"9795.41217"
75225,forest,,,"6530.07850"
75254,forest,,,"3313.63506"
75266,forest,,,"973.054374"
75272,forest,,,"2947.91541"
75276,forest,,,"17998.7848"
75306,forest,,,"6.40253179"
75339,forest,,,"31224.3174"
75354,forest,,,"16265.1955"
75367,forest,,,"39.1025836"
75380,forest,,,"451.118532"
75461,forest,,,"52.5492292"
75515,forest,,,"1445889.73"
75522,forest,,,"31920.9264"
75639,forest,,,"200.582949"
75661,forest,,,"1451.11316"
75670,forest,,,"17778.3648"
75671,forest,,,"116794.579"
75765,forest,,,"4307.92148"
75803,forest,,,"2541.98313"
75814,forest,,,"2914.74798"
75822,forest,,,"3960.70893"
75913,forest,,,"149904.199"
75968,forest,,,"105946.622"
76038,forest,,,"34280.6392"
76072,forest,,,"293142.766"
76133,forest,,,"0.68018301"
76154,forest,,,"35928.7049"
76164,forest,,,"971420.588"
76190,forest,,,"1180.62221"
76315,forest,,,"16.2103357"
76398,forest,,,"5209.93573"
76401,forest,,,"660.639260"
76498,forest,,,"3.75722617"
76501,forest,,,"607.464477"
76576,forest,,,"2122.72410"
76597,forest,,,"558891.454"
76611,forest,,,"1252.48858"
76768,forest,,,"42.6804229"
76796,forest,,,"11.5524465"
76829,forest,,,"78.8741833"
76840,forest,,,"47.6805130"
76904,forest,,,"4412.37433"
76912,forest,,,"1.06477060"
76962,forest,,,"6394.63016"
77128,forest,,,"11.5219059"
77161,forest,,,"3794.26172"
77236,forest,,,"2033.08072"
77263,forest,,,"123.580693"
77300,forest,,,"2289.70021"
77301,forest,,,"38.7001429"
77318,forest,,,"86.7455039"
77334,forest,,,"2531.38720"
77335,forest,,,"6967.54292"
77364,forest,,,"176.137093"
77370,forest,,,"28697.2573"
77495,forest,,,"1385.27870"
77578,forest,,,"3642.65811"
77677,forest,,,"4.00880359"
77685,forest,,,"10.1170892"
77726,forest,,,"15.2972782"
77732,forest,,,"1121.30982"
77733,forest,,,"27749.8973"
77817,forest,,,"14162.2234"
77847,forest,,,"0.01696646"
77858,forest,,,"51594.5287"
77879,forest,,,"7.64045186"
77918,forest,,,"111.376415"
77928,forest,,,"887.797954"
77967,forest,,,"865.023554"
77972,forest,,,"19.0796043"
77973,forest,,,"3190.71668"
77982,forest,,,"6050.87642"
77983,forest,,,"59.1339689"
78007,forest,,,"240.917097"
78097,forest,,,"2272.61122"
78126,forest,,,"6027.12828"
78181,forest,,,"5024.97519"
78266,forest,,,"17.9536614"
78276,forest,,,"0.57629843"
78277,forest,,,"5.04550212"
78326,forest,,,"264475.291"
78349,forest,,,"572.406819"
78350,forest,,,"256.201333"
78357,forest,,,"0.00062115"
78403,forest,,,"455.827484"
78432,forest,,,"7846.76634"
78453,forest,,,"22938.4700"
78556,forest,,,"5.91801689"
78562,forest,,,"14.4871794"
78604,forest,,,"0.00640628"
78639,forest,,,"2295.78180"
78755,forest,,,"15399.3199"
78815,forest,,,"36379.6773"
78869,forest,,,"274757.670"
78895,forest,,,"5894.55870"
79125,forest,,,"8982.11618"
79131,forest,,,"10447.9067"
79166,forest,,,"2204.45877"
79238,forest,,,"2802.72623"
79385,forest,,,"11458.8288"
79568,forest,,,"26.7803237"
79707,forest,,,"60.4513478"
79772,forest,,,"782.427924"
79936,forest,,,"3516.01741"
79979,forest,,,"23412.7669"
80032,forest,,,"0.62237394"
80048,forest,,,"12522.0607"
80109,forest,,,"604.825741"
80205,forest,,,"242.705100"
80217,forest,,,"447.906346"
80236,forest,,,"18480.8373"
80237,forest,,,"5.46308676"
80356,forest,,,"0.71970011"
80359,forest,,,"4635.13740"
80369,forest,,,"88.8702759"
80468,forest,,,"68.9438542"
80493,forest,,,"4605.65942"
80510,forest,,,"47606.2145"
80627,forest,,,"1525.68344"
80637,forest,,,"684.701024"
80734,forest,,,"235.059344"
80780,forest,,,"6178.16044"
80867,forest,,,"297.485248"
80889,forest,,,"5.14053081"
80914,forest,,,"1748.19033"
80932,forest,,,"7478.65945"
80958,forest,,,"1751.33865"
80980,forest,,,"6008.59176"
80981,forest,,,"2503.61519"
80995,forest,,,"620.109239"
81005,forest,,,"20126.0983"
81052,forest,,,"35.7720017"
81131,forest,,,"163.150944"
81174,forest,,,"2919.36196"
81238,forest,,,"883128.930"
81277,forest,,,"2725.54152"
81320,forest,,,"1.65611896"
81375,forest,,,"5451.28337"
81434,forest,,,"14.3676382"
81440,forest,,,"2027.13995"
81643,forest,,,"2502.75904"
81822,forest,,,"509444.282"
