fid,class,natura_cod,status,area
71758,forest,,,"400.221699"
71761,forest,,,"1791.33898"
71771,forest,,,"402.033313"
71773,forest,,,"649774.807"
71779,forest,,,"1181071.39"
71780,forest,,,"785597.069"
71781,forest,,,"101179.086"
71796,forest,,,"29721.2431"
71804,forest,,,"11529.7083"
71805,forest,,,"2319.00247"
71820,forest,,,"2133.19805"
71821,forest,,,"0.56613321"
71825,forest,,,"3.80462080"
71826,forest,,,"19198.6672"
71831,forest,,,"1958.67305"
71833,forest,,,"6887.22350"
71834,forest,,,"281.988257"
71837,forest,,,"1579.50760"
71840,forest,,,"20840.7782"
71843,forest,,,"0.01722865"
71844,forest,,,"11459.8183"
71845,forest,,,"1396.32667"
71853,forest,,,"17803.9985"
71864,forest,,,"75783.0770"
71890,forest,,,"90.9214922"
71895,forest,,,"868.224881"
71899,forest,,,"4749.97533"
71915,forest,,,"99977.9713"
71916,forest,,,"47914.5508"
71921,forest,,,"121677.535"
71928,forest,,,"2179.05455"
71930,forest,,,"130520.942"
71988,forest,,,"908.313978"
71992,forest,,,"638.820959"
71997,forest,,,"731.715167"
72003,forest,,,"1969.34448"
72014,forest,,,"35874.6160"
72017,forest,,,"3804.75362"
72018,forest,,,"9952.01334"
72045,forest,,,"632.409128"
72052,forest,,,"15486.8294"
72062,forest,,,"0.36807178"
72079,forest,,,"6754.67016"
72081,forest,,,"5283.52025"
72086,forest,,,"388.904456"
72088,forest,,,"1470.27378"
72095,forest,,,"2023.00056"
72106,forest,,,"11771.9554"
72112,forest,,,"3499.41106"
72131,forest,,,"1283.71490"
72135,forest,,,"3556.37168"
72140,forest,,,"2098.28119"
72149,forest,,,"10481.9459"
72156,forest,,,"2322.40560"
72158,forest,,,"4205.47691"
72161,forest,,,"1109.09300"
72165,forest,,,"1859.96580"
72170,forest,,,"8112.63082"
72179,forest,,,"70156.9201"
72199,forest,,,"2232.90658"
72207,forest,,,"46231.6222"
72209,forest,,,"7018.37279"
72224,forest,,,"1466.41140"
72227,forest,,,"2868.46587"
72242,forest,,,"83.0101873"
72244,forest,,,"0.12004502"
72246,forest,,,"1739.12076"
72248,forest,,,"3024.69971"
72252,forest,,,"527.908330"
72272,forest,,,"1024.88963"
72285,forest,,,"1007.22099"
72287,forest,,,"12088.3183"
72289,forest,,,"53939.1670"
72300,forest,,,"591.795224"
72313,forest,,,"886.439005"
72315,forest,,,"1043.35087"
72328,forest,,,"3611.86969"
72354,forest,,,"2034.72907"
72395,forest,,,"5570.36978"
72402,forest,,,"3697.92413"
72408,forest,,,"290.064983"
72414,forest,,,"2200.35955"
72417,forest,,,"1472.55143"
72436,forest,,,"37727.3757"
72437,forest,,,"3795.69559"
72440,forest,,,"3268.70814"
72442,forest,,,"3133.83767"
72449,forest,,,"8679.63779"
72457,forest,,,"792.424490"
72473,forest,,,"213110.901"
72478,forest,,,"2792.11191"
72488,forest,,,"779.305288"
72493,forest,,,"27.2198487"
72504,forest,,,"937.224790"
72510,forest,,,"8700.44804"
72511,forest,,,"378.998531"
72514,forest,,,"50431.1211"
72515,forest,,,"28438.2432"
72516,forest,,,"167.819508"
72518,forest,,,"0.01006253"
72523,forest,,,"381.115628"
72526,forest,,,"59867.7491"
72527,forest,,,"185.241388"
72529,forest,,,"580.912768"
72533,forest,,,"4583.06792"
72534,forest,,,"1005.71328"
72535,forest,,,"1357.52275"
72536,forest,,,"7182.25932"
72537,forest,,,"9159.34898"
72538,forest,,,"1363.34437"
72539,forest,,,"1132.04127"
72540,forest,,,"363.777791"
72542,forest,,,"2300.30118"
72547,forest,,,"7687.31114"
72556,forest,,,"153580.035"
72563,forest,,,"111993.021"
72593,forest,,,"52062.5281"
72594,forest,,,"227712.092"
72598,forest,,,"6960.73680"
72599,forest,,,"200823.326"
72600,forest,,,"131545.777"
72601,forest,,,"871222.209"
72602,forest,,,"22551.8366"
72605,forest,,,"122397.731"
72610,forest,,,"651.661068"
72621,forest,,,"4669.20317"
72623,forest,,,"233.764389"
72629,forest,,,"3463.89183"
72631,forest,,,"3140.69391"
72635,forest,,,"13310.7198"
72651,forest,,,"179863.442"
72655,forest,,,"182288.056"
72657,forest,,,"3888.30084"
72670,forest,,,"1244.20255"
72673,forest,,,"289.857301"
72685,forest,,,"807.163957"
72698,forest,,,"968.163591"
72701,forest,,,"10471.4103"
72711,forest,,,"321.122083"
72712,forest,,,"1438.62096"
72713,forest,,,"1366.77343"
72743,forest,,,"88.8650647"
72744,forest,,,"2258.17589"
72748,forest,,,"6059.97063"
72756,forest,,,"2202.05377"
72763,forest,,,"84.5379180"
72772,forest,,,"58.4537878"
72773,forest,,,"1425064.14"
72779,forest,,,"644.943263"
72787,forest,,,"3535.47585"
72792,forest,,,"661.392252"
72812,forest,,,"18828.3207"
72818,forest,,,"23920.6525"
72826,forest,,,"0.88780314"
72837,forest,,,"2.78114262"
72852,forest,,,"3080.73219"
72857,forest,,,"5977.90736"
72865,forest,,,"11.4152657"
72882,forest,,,"134194.195"
72891,forest,,,"16.6359085"
72894,forest,,,"9455.27897"
72895,forest,,,"2854.20524"
72896,forest,,,"76433.5450"
72897,forest,,,"434.230529"
72906,forest,,,"663.396392"
72910,forest,,,"1981.91598"
72911,forest,,,"99.1562354"
72912,forest,,,"138.815610"
72917,forest,,,"50433.4549"
72919,forest,,,"3847.96502"
72920,forest,,,"1411.54263"
72929,forest,,,"1461.85793"
72946,forest,,,"4084.24112"
72954,forest,,,"220.349700"
72960,forest,,,"771.182065"
72968,forest,,,"45532.1276"
72970,forest,,,"326.982244"
72982,forest,,,"630.572621"
72987,forest,,,"86979.5271"
72991,forest,,,"9753.68813"
72994,forest,,,"2209.98665"
73013,forest,,,"3884.52467"
73014,forest,,,"112.761464"
73031,forest,,,"10454.0339"
73032,forest,,,"2.02796024"
73049,forest,,,"3739.16793"
73072,forest,,,"177750.420"
73080,forest,,,"44753.8111"
73086,forest,,,"921.885897"
73089,forest,,,"11.7749926"
73095,forest,,,"1411.76645"
73121,forest,,,"103667.107"
73124,forest,,,"1530.47703"
73126,forest,,,"39654.6336"
73128,forest,,,"27536.2093"
73136,forest,,,"37.9171281"
73147,forest,,,"1893.84174"
73151,forest,,,"14904.1962"
73153,forest,,,"2948.84090"
73160,forest,,,"35.7597146"
73169,forest,,,"18.4299389"
73175,forest,,,"2571.12275"
73195,forest,,,"38601.8871"
73206,forest,,,"0.30556895"
73216,forest,,,"3091.02386"
73247,forest,,,"1353.34272"
73255,forest,,,"173596.428"
73266,forest,,,"25275.2861"
73285,forest,,,"2317.01324"
73314,forest,,,"2813.41738"
73324,forest,,,"4960.08905"
73334,forest,,,"3327.65856"
73336,forest,,,"9255.49362"
73346,forest,,,"33.7214549"
73352,forest,,,"2070.73828"
73366,forest,,,"5428.95557"
73390,forest,,,"78.4855221"
73427,forest,,,"3905.02222"
73441,forest,,,"318.234993"
73446,forest,,,"37561.7942"
73469,forest,,,"4742.56309"
73482,forest,,,"13727.2543"
73486,forest,,,"17795.7903"
73492,forest,,,"11730.7620"
73495,forest,,,"1599.35749"
73497,forest,,,"951.271725"
73499,forest,,,"5426.81809"
73510,forest,,,"252.454360"
73527,forest,,,"296357.512"
73544,forest,,,"250890.677"
73547,forest,,,"1516.02705"
73558,forest,,,"1140670.37"
73565,forest,,,"66.9708611"
73568,forest,,,"46460.1889"
73580,forest,,,"6715.78486"
73587,forest,,,"1337.43032"
73588,forest,,,"700.844402"
73593,forest,,,"1229.61186"
73624,forest,,,"597660.363"
73630,forest,,,"4144.56857"
73634,forest,,,"3785.12434"
73635,forest,,,"1505.58449"
73649,forest,,,"3539.87425"
73655,forest,,,"112.075921"
73665,forest,,,"24651.6746"
73667,forest,,,"518.011207"
73671,forest,,,"2951.31630"
73680,forest,,,"1619.77695"
73681,forest,,,"2757.44279"
73684,forest,,,"7728.32163"
73690,forest,,,"1987.98332"
73700,forest,,,"335.854121"
73724,forest,,,"32051.0476"
73727,forest,,,"2624.86603"
