fid,class,natura_cod,status,area
4,forest,,,"5488.23733"
59,forest,,,"290.306418"
86,forest,,,"1630.98675"
155,forest,,,"207.014522"
158,forest,,,"192.211083"
232,forest,,,"428.232837"
261,forest,,,"1432.60798"
269,forest,,,"288.292309"
289,forest,,,"1338.59858"
398,forest,,,"489.873879"
408,forest,,,"4924.00157"
453,forest,,,"1043.03224"
524,forest,,,"426.645490"
525,forest,,,"428.101021"
544,forest,,,"11707.7218"
545,forest,,,"147.246780"
570,forest,,,"424.979285"
573,forest,,,"379.237077"
605,forest,,,"7763.21874"
656,forest,,,"5942.51080"
672,forest,,,"10141.2545"
736,forest,,,"783.720746"
738,forest,,,"210.880845"
747,forest,,,"75127.0469"
797,forest,,,"2934.34901"
804,forest,,,"426.875394"
807,forest,,,"5305.41123"
815,forest,,,"4471.38797"
826,forest,,,"68.1381304"
855,forest,,,"1282.44606"
867,forest,,,"2275.69682"
912,forest,,,"258.502066"
924,forest,,,"1053.93187"
958,forest,,,"989.545595"
996,forest,,,"243.547714"
1040,forest,,,"1309.37606"
1069,forest,,,"146.975040"
1079,forest,,,"68.1596449"
1130,forest,,,"12039.1975"
1173,forest,,,"151.076621"
1175,forest,,,"0.16153540"
1179,forest,,,"31165.0973"
1229,forest,,,"7605.99868"
1252,forest,,,"1675.95976"
1265,forest,,,"362.801073"
1272,forest,,,"2889.47989"
1344,forest,,,"1641.43025"
1380,forest,,,"1356.71221"
1400,forest,,,"1070.33246"
1415,forest,,,"6947.48993"
1428,forest,,,"507.431788"
1432,forest,,,"354.988706"
1479,forest,,,"171.009323"
1489,forest,,,"4249.86862"
1496,forest,,,"0.19446103"
1497,forest,,,"3454.56541"
1512,forest,,,"0.68851651"
1520,forest,,,"181.183478"
1529,forest,,,"8149.52659"
1544,forest,,,"547.807965"
1609,forest,,,"764.700485"
1618,forest,,,"9443.21296"
1624,forest,,,"1996.54398"
1628,forest,,,"2668.95399"
1633,forest,,,"208.617404"
1717,forest,,,"32.0321487"
1769,forest,,,"227.079578"
1815,forest,,,"3547.32919"
2005,forest,,,"191.679268"
2057,forest,,,"3292.15961"
2067,forest,,,"957.193426"
2097,forest,,,"298.200774"
2110,forest,,,"156.764458"
2333,forest,,,"2107.10472"
2410,forest,,,"7205.27393"
2452,forest,,,"309.106985"
2472,forest,,,"241.962442"
2489,forest,,,"2027.08512"
2491,forest,,,"898.409438"
2550,forest,,,"253.660612"
2560,forest,,,"379.277504"
2569,forest,,,"14155.6469"
2581,forest,,,"93.8817758"
2586,forest,,,"183.863741"
2622,forest,,,"18387.9816"
2624,forest,,,"221.499179"
2625,forest,,,"1997.44711"
2636,forest,,,"5058.30218"
2640,forest,,,"704.407418"
2643,forest,,,"1418.05822"
2685,forest,,,"1692.78933"
2688,forest,,,"216.579487"
2706,forest,,,"1098.20939"
2741,forest,,,"287.819795"
2796,forest,,,"1810.22987"
2821,forest,,,"330.703122"
2895,forest,,,"17742.5246"
