fid,class,natura_cod,status,area
4,forest,,,"790.644633"
102,forest,,,"5.23446167"
104,forest,,,"45119.4308"
132,forest,,,"154.019577"
141,forest,,,"28933.7681"
146,forest,,,"3460.98134"
305,forest,,,"8608.77022"
424,forest,,,"5414.70904"
502,forest,,,"0.55337009"
672,forest,,,"22259.8807"
692,forest,,,"686.641245"
714,forest,,,"4545.04171"
747,forest,,,"346528.090"
753,forest,,,"1055.24268"
809,forest,,,"9004.10153"
819,forest,,,"51.4946837"
914,forest,,,"112.892108"
970,forest,,,"4.85103706"
1073,forest,,,"701.100591"
1079,forest,,,"1519.02957"
1133,forest,,,"18778.7799"
1277,forest,,,"3695.39904"
1520,forest,,,"927.707497"
1529,forest,,,"669022.886"
1538,forest,,,"5776.69820"
1570,forest,,,"480900.769"
1634,forest,,,"1602.59938"
1717,forest,,,"1871.33642"
2199,forest,,,"1220.86595"
2410,forest,,,"1288635.73"
2452,forest,,,"0.25325710"
2569,forest,,,"429038.578"
2572,forest,,,"572.946187"
2581,forest,,,"22246.2264"
2844,forest,,,"5097.40191"
2872,forest,,,"9.43803741"
2929,forest,,,"2456.98865"
2942,forest,,,"1120.02244"
3011,forest,,,"366.308325"
3065,forest,,,"44974.0764"
3165,forest,,,"17345.9636"
3276,forest,,,"658.119013"
3320,forest,,,"23.0550976"
3358,forest,,,"4925.49716"
3465,forest,,,"2624.63191"
3478,forest,,,"8712.89245"
3532,forest,,,"258.943072"
3564,forest,,,"549.542638"
3684,forest,,,"130358.901"
3717,forest,,,"170.214080"
3731,forest,,,"17.6259067"
3743,forest,,,"4628.84369"
3862,forest,,,"2346.20347"
3880,forest,,,"382.939551"
3961,forest,,,"1.55533883"
3995,forest,,,"44510.5122"
4029,forest,,,"333.222462"
4033,forest,,,"1064.20547"
4112,forest,,,"4623.08834"
4181,forest,,,"1905.47503"
4184,forest,,,"1392.60615"
4190,forest,,,"6607.22980"
4221,forest,,,"0.09264462"
4321,forest,,,"296.312860"
4428,forest,,,"2597.56715"
4525,forest,,,"10611.7016"
4534,forest,,,"79388.3849"
4644,forest,,,"206666.598"
4688,forest,,,"1731487.85"
4755,forest,,,"227410.449"
4835,forest,,,"0.61272888"
4865,forest,,,"66.5664955"
4909,forest,,,"2793.33608"
4955,forest,,,"2074.81376"
5041,forest,,,"566.853535"
5090,forest,,,"432.747735"
5162,forest,,,"2793.75076"
5234,forest,,,"14282.1551"
5311,forest,,,"1291.39016"
5349,forest,,,"4382.30469"
5376,forest,,,"2334.75695"
5408,forest,,,"2.50503836"
5461,forest,,,"1280.53143"
5491,forest,,,"101.615412"
5532,forest,,,"53398.9168"
5545,forest,,,"78.9604035"
5554,forest,,,"23.9548015"
5581,forest,,,"705.552679"
5606,forest,,,"63.0638257"
5626,forest,,,"33086.3486"
5692,forest,,,"6857095.78"
5710,forest,,,"17395.4282"
5764,forest,,,"10423.7101"
5804,forest,,,"4028.93730"
5930,forest,,,"990.506511"
5936,forest,,,"466.009114"
5943,forest,,,"142.412656"
6047,forest,,,"3539.79589"
6053,forest,,,"6865.05348"
6224,forest,,,"267.924174"
6245,forest,,,"30276.6227"
6293,forest,,,"156.638611"
6333,forest,,,"3646.37691"
6425,forest,,,"0.20523128"
6439,forest,,,"30.0482587"
6455,forest,,,"1.35082977"
6496,forest,,,"6.59855024"
6530,forest,,,"7804.13405"
6565,forest,,,"1075.09587"
6624,forest,,,"8.83173622"
6736,forest,,,"172.705631"
6740,forest,,,"828.327450"
