fid,class,natura_cod,status,area
4,forest,,,"83169.3887"
7,forest,,,"1477.37710"
10,forest,,,"3435.51785"
11,forest,,,"1000.56300"
15,forest,,,"742.361525"
16,forest,,,"3044.98883"
22,forest,,,"5140.12412"
23,forest,,,"1116.34495"
31,forest,,,"13573.0616"
35,forest,,,"4070.60897"
41,forest,,,"295.235232"
44,forest,,,"2107.40454"
62,forest,,,"2530.45461"
75,forest,,,"6279.60258"
77,forest,,,"335.118913"
79,forest,,,"282.825792"
86,forest,,,"68495.5401"
89,forest,,,"0.00742114"
94,forest,,,"1146.44913"
104,forest,,,"286024.372"
117,forest,,,"1174.38836"
124,forest,,,"911.223455"
132,forest,,,"6989.16959"
141,forest,,,"69400.3163"
152,forest,,,"334.301009"
158,forest,,,"173224.892"
166,forest,,,"103631.392"
212,forest,,,"619.588458"
236,forest,,,"1925.27176"
240,forest,,,"1759.79758"
250,forest,,,"1789.75033"
254,forest,,,"4088.79454"
266,forest,,,"3709.98397"
267,forest,,,"2521.84178"
269,forest,,,"975.635811"
278,forest,,,"1971.14123"
281,forest,,,"1471.93572"
302,forest,,,"472.084301"
312,forest,,,"5303.96708"
319,forest,,,"6041.51528"
320,forest,,,"3.02670395"
325,forest,,,"953.258985"
332,forest,,,"53309.3827"
336,forest,,,"1290.52489"
345,forest,,,"166.671907"
352,forest,,,"3073.16190"
382,forest,,,"2609.41237"
386,forest,,,"1306.40695"
387,forest,,,"1530.48970"
388,forest,,,"199.466608"
390,forest,,,"333.733763"
392,forest,,,"75560.5330"
394,forest,,,"2344.75929"
423,forest,,,"740.530807"
443,forest,,,"717.542528"
445,forest,,,"832.951290"
468,forest,,,"824.881904"
469,forest,,,"1689.46085"
474,forest,,,"1738.97411"
479,forest,,,"2543.08810"
502,forest,,,"37.2811105"
504,forest,,,"2524.95111"
522,forest,,,"120.917438"
524,forest,,,"332.067240"
526,forest,,,"477.685562"
527,forest,,,"2109.41906"
536,forest,,,"13301.1950"
537,forest,,,"28731.4499"
543,forest,,,"3152.00214"
546,forest,,,"867.588326"
565,forest,,,"308.028181"
567,forest,,,"3210.29427"
570,forest,,,"6691.30639"
574,forest,,,"874.562740"
577,forest,,,"1015.72788"
578,forest,,,"6954.44573"
582,forest,,,"5627.50669"
583,forest,,,"967.528388"
