fid,class,natura_cod,status,area
5,forest,,,"32171.5618"
9,forest,,,"24.2098331"
18,forest,,,"22734.5586"
25,forest,,,"1087.25614"
76,forest,,,"67920.5158"
81,forest,,,"457.747128"
111,forest,,,"9057.00190"
123,forest,,,"24930.6923"
144,forest,,,"2148.05334"
161,forest,,,"6184.27065"
171,forest,,,"69.3796866"
185,forest,,,"3071.05310"
187,forest,,,"28182.9958"
198,forest,,,"182.370009"
211,forest,,,"979.832970"
225,forest,,,"1369.20803"
280,forest,,,"727.070372"
313,forest,,,"329.650464"
317,forest,,,"2220.78861"
318,forest,,,"8661.19636"
328,forest,,,"266.014116"
343,forest,,,"2668.02227"
354,forest,,,"843.688287"
364,forest,,,"4890.58547"
372,forest,,,"14081.8770"
385,forest,,,"2275.04610"
419,forest,,,"3649.70404"
428,forest,,,"1386.37234"
434,forest,,,"11.9069549"
473,forest,,,"126.114921"
482,forest,,,"1932.59296"
523,forest,,,"1234.20209"
541,forest,,,"23516.3550"
624,forest,,,"3944.38073"
633,forest,,,"13834.4694"
674,forest,,,"929.981951"
720,forest,,,"1595.86798"
746,forest,,,"845.463228"
913,forest,,,"5555.15621"
979,forest,,,"1893.65631"
990,forest,,,"1031.16642"
997,forest,,,"427.046691"
1000,forest,,,"7256.32046"
1009,forest,,,"951.102037"
1012,forest,,,"450.439399"
1029,forest,,,"11309.1037"
1125,forest,,,"320.945622"
1184,forest,,,"1493.67751"
1381,forest,,,"3269.24179"
1571,forest,,,"4453.92851"
1642,forest,,,"3213.20597"
1658,forest,,,"219.151314"
1667,forest,,,"2335.32316"
1671,forest,,,"1493.53475"
1672,forest,,,"460.809851"
1675,forest,,,"540.796803"
1685,forest,,,"1024.29519"
1692,forest,,,"481.896500"
1693,forest,,,"1755.04263"
1716,forest,,,"528.669299"
1720,forest,,,"2878.70800"
1728,forest,,,"1856.80743"
1731,forest,,,"537.209777"
1751,forest,,,"9170.99147"
1778,forest,,,"13206.7636"
1788,forest,,,"2849.96669"
1793,forest,,,"4494.05484"
1794,forest,,,"1976.73242"
1799,forest,,,"1377.70806"
1803,forest,,,"524.178798"
1826,forest,,,"23477.9537"
1832,forest,,,"436.875200"
1838,forest,,,"894.123862"
1854,forest,,,"1326.52701"
1861,forest,,,"124.462617"
1871,forest,,,"215.120133"
1880,forest,,,"389.670740"
1892,forest,,,"1716.49981"
1896,forest,,,"5934.04173"
1900,forest,,,"2642.48547"
1907,forest,,,"1315.15818"
1917,forest,,,"1447.60467"
1918,forest,,,"978.282498"
1939,forest,,,"1110.63155"
1951,forest,,,"623.971705"
1962,forest,,,"322.211660"
1976,forest,,,"275.349793"
2055,forest,,,"147.815833"
2073,forest,,,"9904.03434"
2077,forest,,,"1095.30162"
2112,forest,,,"11702.0272"
2115,forest,,,"2.94531976"
2157,forest,,,"588.953137"
2158,forest,,,"314.222996"
2159,forest,,,"120.796743"
2171,forest,,,"17295.6220"
2172,forest,,,"4879.82031"
2180,forest,,,"305.109466"
2194,forest,,,"5948.75998"
2200,forest,,,"6206.26473"
2206,forest,,,"0.91410924"
2219,forest,,,"391.752293"
2227,forest,,,"0.09804288"
2296,forest,,,"34233.8820"
2316,forest,,,"560.669388"
2327,forest,,,"142180.206"
2330,forest,,,"1606.78244"
2340,forest,,,"570.902225"
2346,forest,,,"2151.03065"
2365,forest,,,"2479.65071"
2369,forest,,,"243.586222"
2372,forest,,,"533.331089"
2376,forest,,,"250.716479"
2378,forest,,,"413.756244"
2386,forest,,,"549.091845"
2393,forest,,,"719.304422"
2414,forest,,,"5.52997591"
2415,forest,,,"116.638731"
2422,forest,,,"197.354742"
2435,forest,,,"853.814194"
2436,forest,,,"208.471993"
2438,forest,,,"7681.59468"
2442,forest,,,"54393.6150"
2451,forest,,,"6775.06757"
2456,forest,,,"1588.09025"
2457,forest,,,"6411.68999"
2546,forest,,,"44659.4966"
2724,forest,,,"56115.9996"
2725,forest,,,"6721.56210"
2728,forest,,,"621.751236"
2739,forest,,,"8.05241959"
2840,forest,,,"11785.7482"
2871,forest,,,"112005.597"
2910,forest,,,"1067.94714"
2987,forest,,,"1498.19361"
3054,forest,,,"562.500812"
3169,forest,,,"701.168643"
3252,forest,,,"1844.90719"
3540,forest,,,"53.9262667"
3615,forest,,,"5731.07297"
3927,forest,,,"16.9611992"
3930,forest,,,"477.045619"
4052,forest,,,"1455.84173"
4063,forest,,,"7198.45551"
4085,forest,,,"61.4016175"
4440,forest,,,"9303.48870"
4554,forest,,,"23367.3459"
4577,forest,,,"104.651511"
4614,forest,,,"14973.2040"
4628,forest,,,"18589.3440"
4706,forest,,,"24090.9456"
4939,forest,,,"2683.72777"
5139,forest,,,"2877.12695"
5143,forest,,,"2016.39328"
5343,forest,,,"33208.3170"
5344,forest,,,"9938.68064"
6027,forest,,,"3811.50524"
6069,forest,,,"2925.87964"
6329,forest,,,"87.6067759"
6549,forest,,,"197590.497"
6678,forest,,,"4756.01488"
6726,forest,,,"6849.75482"
6773,forest,,,"1.09175709"
6910,forest,,,"329.211529"
6941,forest,,,"838.530354"
6966,forest,,,"2999.69518"
6971,forest,,,"1200.91480"
6980,forest,,,"669.447698"
7008,forest,,,"757.632314"
7015,forest,,,"580.117424"
7032,forest,,,"30.4781327"
7033,forest,,,"1321.12824"
7042,forest,,,"257.771424"
7068,forest,,,"1135.88466"
7077,forest,,,"225.524757"
7092,forest,,,"3171.81525"
7099,forest,,,"371.344289"
7107,forest,,,"2.57842212"
7111,forest,,,"10457.5436"
7115,forest,,,"663.776470"
7171,forest,,,"1749.28548"
7172,forest,,,"7797.09209"
7183,forest,,,"15383.8790"
7186,forest,,,"5695.82386"
7210,forest,,,"2119.09981"
7212,forest,,,"11.2865382"
7229,forest,,,"380.101757"
7261,forest,,,"1330.69490"
7272,forest,,,"16964.1575"
7285,forest,,,"9047.80776"
7299,forest,,,"106.706159"
7318,forest,,,"6213.82923"
7332,forest,,,"381.902990"
7341,forest,,,"349.405205"
7347,forest,,,"2896.51404"
7349,forest,,,"1688.14621"
7350,forest,,,"152.692399"
7356,forest,,,"1062.79089"
7360,forest,,,"350.723971"
7408,forest,,,"1090.34609"
7410,forest,,,"409.227931"
7419,forest,,,"223.953866"
7424,forest,,,"228.221534"
7448,forest,,,"4768.73178"
7473,forest,,,"3742.09916"
7479,forest,,,"712.822549"
7499,forest,,,"4710.60887"
7502,forest,,,"6.53634192"
7528,forest,,,"4100.54033"
7535,forest,,,"724.876945"
7536,forest,,,"1271.28214"
7546,forest,,,"292.611309"
7557,forest,,,"2219.96429"
7579,forest,,,"51542.2260"
7581,forest,,,"1.77442491"
7592,forest,,,"258.076971"
7603,forest,,,"529.051148"
7616,forest,,,"383.022859"
7617,forest,,,"354.744531"
7618,forest,,,"9.62086407"
7626,forest,,,"1133.15648"
7676,forest,,,"4247.24080"
7703,forest,,,"1654.23337"
7710,forest,,,"192.792796"
7772,forest,,,"508.783102"
7779,forest,,,"761.199468"
7839,forest,,,"2871.89874"
7853,forest,,,"3442.39479"
7859,forest,,,"2971.03226"
7862,forest,,,"873.624683"
7873,forest,,,"131.144146"
7894,forest,,,"147.920002"
7909,forest,,,"1278.53623"
7916,forest,,,"289.041842"
7923,forest,,,"170.153250"
7944,forest,,,"131.938953"
7959,forest,,,"7762.74838"
7984,forest,,,"2365.59094"
8001,forest,,,"109.112481"
8003,forest,,,"1451.41606"
8025,forest,,,"585.793675"
8043,forest,,,"6390.09950"
8055,forest,,,"1559.51990"
8074,forest,,,"1293.82119"
8093,forest,,,"11860.8447"
8136,forest,,,"3334.38158"
8138,forest,,,"551.303745"
