fid,class,natura_cod,status,area
5,forest,,,"6531051.47"
54,forest,,,"8993.85951"
70,forest,,,"967.944144"
108,forest,,,"133.695948"
111,forest,,,"39447.5155"
114,forest,,,"192515.393"
161,forest,,,"7831208.33"
165,forest,,,"395.030068"
171,forest,,,"37867.4255"
183,forest,,,"0.03274459"
187,forest,,,"389521.890"
191,forest,,,"867575.685"
231,forest,,,"19.8822614"
235,forest,,,"669366.867"
247,forest,,,"847.266654"
248,forest,,,"2693.59454"
251,forest,,,"67.7489881"
294,forest,,,"1232847.00"
306,forest,,,"8392.49339"
313,forest,,,"10.7580722"
317,forest,,,"57231.5979"
335,forest,,,"2294.87254"
347,forest,,,"206.086510"
364,forest,,,"647811.725"
366,forest,,,"16918.8639"
372,forest,,,"113312.949"
375,forest,,,"948.932509"
385,forest,,,"1024721.43"
395,forest,,,"4414.22032"
415,forest,,,"104.607482"
432,forest,,,"100.947096"
441,forest,,,"34.4845652"
451,forest,,,"27388.4279"
482,forest,,,"2425.06780"
541,forest,,,"249470.663"
624,forest,,,"2087551.98"
633,forest,,,"30057.7380"
712,forest,,,"723.240939"
781,forest,,,"32.3172912"
803,forest,,,"2029.79767"
856,forest,,,"387270.405"
860,forest,,,"238984.255"
891,forest,,,"3062.74800"
903,forest,,,"76.2745863"
941,forest,,,"711.497132"
946,forest,,,"513.060895"
979,forest,,,"300016.617"
1012,forest,,,"63.6263958"
1013,forest,,,"334.133910"
1032,forest,,,"4902.05221"
1184,forest,,,"606184.089"
1185,forest,,,"88.1759059"
1306,forest,,,"21.2265245"
1311,forest,,,"47.6561372"
1382,forest,,,"6733.08682"
1423,forest,,,"24.5718929"
1571,forest,,,"1811076.72"
1595,forest,,,"154.264936"
1622,forest,,,"52.6784310"
1648,forest,,,"1885993.04"
1658,forest,,,"69.3332391"
1674,forest,,,"155.798986"
1676,forest,,,"1341.52462"
1701,forest,,,"478.807479"
1718,forest,,,"6.08213507"
1762,forest,,,"1100.47008"
1772,forest,,,"49.6378920"
1774,forest,,,"477.434191"
1778,forest,,,"333404.770"
1784,forest,,,"25.9613614"
1809,forest,,,"4588.65259"
1810,forest,,,"21.6016231"
1838,forest,,,"381.238246"
1839,forest,,,"937.652908"
1851,forest,,,"45216.8716"
1861,forest,,,"0.12737909"
1868,forest,,,"17.4824036"
