fid,class,natura_cod,status,area
5,forest,,,"1171907.91"
9,forest,,,"3.85198894"
17,forest,,,"2369.29947"
18,forest,,,"47947.8591"
25,forest,,,"67196.7967"
26,forest,,,"466688.694"
48,forest,,,"12.3523295"
53,forest,,,"28623.1113"
54,forest,,,"66371.7284"
76,forest,,,"652847.960"
78,forest,,,"1621.93611"
84,forest,,,"13.5531184"
87,forest,,,"1326.58809"
100,forest,,,"1447.98129"
107,forest,,,"166.479453"
108,forest,,,"3029.75259"
111,forest,,,"205256.800"
114,forest,,,"27155.0170"
118,forest,,,"151013.809"
123,forest,,,"334471.192"
137,forest,,,"877.134967"
144,forest,,,"12817.6997"
150,forest,,,"0.09086949"
161,forest,,,"761450.131"
163,forest,,,"1935.71074"
165,forest,,,"160.380994"
171,forest,,,"62731.1106"
185,forest,,,"2001.47270"
187,forest,,,"654584.749"
190,forest,,,"6482.93756"
191,forest,,,"423867.113"
198,forest,,,"464.280714"
200,forest,,,"1054.13428"
201,forest,,,"8373.98895"
210,forest,,,"14319.0643"
224,forest,,,"5081.97902"
225,forest,,,"32406.1807"
231,forest,,,"87469.6699"
233,forest,,,"1335.09638"
235,forest,,,"574030.749"
248,forest,,,"71480.9927"
251,forest,,,"1345.71367"
265,forest,,,"14346.6338"
290,forest,,,"23577.6703"
294,forest,,,"195762.946"
295,forest,,,"5076.86388"
300,forest,,,"16349.9498"
306,forest,,,"3548.07932"
307,forest,,,"0.37764602"
309,forest,,,"279.959686"
317,forest,,,"620813.126"
318,forest,,,"2317.22605"
323,forest,,,"354.916112"
334,forest,,,"3500.56297"
339,forest,,,"15.0491266"
341,forest,,,"1987.14819"
343,forest,,,"99733.4322"
344,forest,,,"20.4519361"
347,forest,,,"592.613837"
350,forest,,,"12388.9545"
354,forest,,,"976.420604"
364,forest,,,"437658.017"
365,forest,,,"16486.8989"
366,forest,,,"6416.42402"
367,forest,,,"3057.34033"
372,forest,,,"425036.854"
373,forest,,,"7896.97955"
375,forest,,,"3341.69996"
377,forest,,,"22095.1457"
378,forest,,,"5716.75541"
379,forest,,,"8303.68621"
384,forest,,,"11102.1685"
385,forest,,,"353489.007"
403,forest,,,"22524.7993"
411,forest,,,"7229.96994"
412,forest,,,"2842.24598"
413,forest,,,"14992.8540"
415,forest,,,"67827.9687"
417,forest,,,"143.483630"
422,forest,,,"21248.7463"
428,forest,,,"3975.41859"
432,forest,,,"201373.773"
433,forest,,,"5200.44834"
441,forest,,,"4.76423729"
452,forest,,,"20.5213541"
473,forest,,,"8589.12885"
477,forest,,,"1402.39605"
481,forest,,,"36683.0959"
482,forest,,,"13.6568389"
483,forest,,,"51539.3189"
484,forest,,,"5470.36028"
486,forest,,,"4874.26030"
519,forest,,,"4549.80180"
523,forest,,,"932.894090"
541,forest,,,"286942.996"
550,forest,,,"2630.14923"
569,forest,,,"454012.205"
579,forest,,,"70242.6500"
602,forest,,,"2378.68992"
608,forest,,,"6881.68470"
609,forest,,,"4723.45919"
613,forest,,,"9583.58469"
617,forest,,,"8703.19410"
623,forest,,,"591.425083"
624,forest,,,"966273.673"
629,forest,,,"18394.8132"
630,forest,,,"3060.76890"
633,forest,,,"136830.275"
658,forest,,,"791.363101"
671,forest,,,"8466.95214"
675,forest,,,"4489.44750"
677,forest,,,"945.832731"
700,forest,,,"322.910181"
709,forest,,,"223.626860"
728,forest,,,"6229.57302"
755,forest,,,"39202.7116"
762,forest,,,"2979.13878"
764,forest,,,"312.771731"
768,forest,,,"3445.99636"
781,forest,,,"35.7387910"
803,forest,,,"9443.18971"
856,forest,,,"438966.742"
860,forest,,,"129873.974"
891,forest,,,"4658.90903"
903,forest,,,"575.325656"
913,forest,,,"38816.4792"
932,forest,,,"1321.72917"
941,forest,,,"854.215263"
946,forest,,,"44101.5968"
948,forest,,,"371.435839"
953,forest,,,"4060.49281"
979,forest,,,"406117.966"
989,forest,,,"49283.3097"
999,forest,,,"1228.18133"
1004,forest,,,"23993.3347"
1009,forest,,,"194.849732"
1010,forest,,,"48735.4390"
1012,forest,,,"18536.8529"
1013,forest,,,"8650.59542"
1016,forest,,,"36662.1873"
1023,forest,,,"1167.02924"
1028,forest,,,"31841.4131"
1029,forest,,,"283196.547"
1032,forest,,,"804.404875"
1123,forest,,,"62288.3178"
1125,forest,,,"1299.53118"
1127,forest,,,"26493.0924"
1166,forest,,,"5970.33547"
1171,forest,,,"15849.0550"
1184,forest,,,"381527.888"
1185,forest,,,"44.2818552"
1258,forest,,,"83.1866789"
1303,forest,,,"322.928936"
1304,forest,,,"9342.26595"
1306,forest,,,"1.56087430"
1315,forest,,,"2.64463615"
1316,forest,,,"16.8661652"
1323,forest,,,"3358.47997"
1327,forest,,,"4356.72840"
1382,forest,,,"41096.9250"
1423,forest,,,"37.8760412"
1502,forest,,,"59.6890048"
1513,forest,,,"8578.06576"
1536,forest,,,"2531.39045"
1571,forest,,,"1022103.43"
1600,forest,,,"575.117071"
1604,forest,,,"683.329861"
1606,forest,,,"2653.01510"
1608,forest,,,"315.228042"
1611,forest,,,"148.188876"
1622,forest,,,"112.403082"
1631,forest,,,"842.432024"
1632,forest,,,"1813.02754"
1638,forest,,,"1054.24729"
1642,forest,,,"5596.92575"
1647,forest,,,"14252.7480"
1648,forest,,,"205460.957"
1651,forest,,,"2227.06157"
1653,forest,,,"748.214296"
1664,forest,,,"1079.22538"
1665,forest,,,"167.440420"
1666,forest,,,"5293.69671"
1667,forest,,,"8528.06012"
1671,forest,,,"31150.4043"
1674,forest,,,"160.495788"
1676,forest,,,"414.385108"
1677,forest,,,"3694.95571"
1679,forest,,,"2189.51126"
1683,forest,,,"1514.67611"
1685,forest,,,"116.998676"
1687,forest,,,"4277.51790"
1688,forest,,,"12251.8874"
1691,forest,,,"7955.44228"
1692,forest,,,"374.101411"
1695,forest,,,"2.40184102"
1697,forest,,,"3049.33981"
1698,forest,,,"210.465423"
1701,forest,,,"13238.0765"
1703,forest,,,"110.280054"
1704,forest,,,"4336.05346"
1705,forest,,,"2694.64042"
1710,forest,,,"0.03729621"
1711,forest,,,"150.072639"
1716,forest,,,"7040.20099"
1719,forest,,,"2972.23320"
1720,forest,,,"4533.80099"
1722,forest,,,"1479.88142"
1724,forest,,,"715.754753"
1726,forest,,,"9390.42982"
1727,forest,,,"9723.17546"
1728,forest,,,"1981.94362"
1730,forest,,,"563.381070"
1734,forest,,,"15470.0957"
1736,forest,,,"708.106887"
1738,forest,,,"0.03539968"
1739,forest,,,"306.323490"
1743,forest,,,"9455.44001"
1746,forest,,,"48706.1024"
1748,forest,,,"51.9832921"
1749,forest,,,"3402.51254"
1753,forest,,,"2981.27401"
1754,forest,,,"1889.54611"
1758,forest,,,"733.078825"
1760,forest,,,"56.1056997"
1762,forest,,,"4923.16838"
1766,forest,,,"1584.32365"
1768,forest,,,"151.493391"
1770,forest,,,"965.191431"
1772,forest,,,"627.112692"
1778,forest,,,"84337.6204"
1780,forest,,,"14820.6878"
1782,forest,,,"2925.46859"
1789,forest,,,"232.641753"
1790,forest,,,"542.385975"
1791,forest,,,"2193.94374"
1793,forest,,,"135.893168"
1795,forest,,,"1914.44948"
1796,forest,,,"45669.6423"
1797,forest,,,"46741.8522"
1798,forest,,,"3883.17141"
1800,forest,,,"667.923505"
1804,forest,,,"1214.91569"
1807,forest,,,"53.2192708"
1818,forest,,,"626.483699"
1820,forest,,,"30733.7398"
1821,forest,,,"2.91813571"
1823,forest,,,"2735.31070"
1824,forest,,,"656.406667"
1826,forest,,,"77753.4339"
1828,forest,,,"75852.4759"
1830,forest,,,"2783.13914"
1832,forest,,,"12884.0807"
1833,forest,,,"1004.62729"
1835,forest,,,"26099.3965"
1836,forest,,,"8049.20484"
1838,forest,,,"9236.55386"
1842,forest,,,"445.827648"
1845,forest,,,"1566.63670"
1851,forest,,,"13164.4161"
1852,forest,,,"988.101544"
1853,forest,,,"27.8786766"
1858,forest,,,"2475.96421"
1862,forest,,,"4372.98858"
1864,forest,,,"3402.65247"
1868,forest,,,"516.641500"
1869,forest,,,"412.805955"
1871,forest,,,"30942.1275"
1873,forest,,,"3086.78568"
1875,forest,,,"1.63329688"
1876,forest,,,"1209.55808"
1879,forest,,,"61.4838167"
1883,forest,,,"7499.04719"
1884,forest,,,"4142.21443"
1885,forest,,,"5686.45822"
1886,forest,,,"1267.64249"
1892,forest,,,"2638.44630"
1895,forest,,,"0.09089450"
1896,forest,,,"18793.4068"
1897,forest,,,"8084.36759"
1898,forest,,,"466.645181"
1900,forest,,,"4128.52024"
1902,forest,,,"3675.03706"
1904,forest,,,"3099.33650"
1909,forest,,,"7034.78440"
1911,forest,,,"10821.0777"
1912,forest,,,"455.997616"
1914,forest,,,"55.3928999"
1920,forest,,,"3933.52212"
1930,forest,,,"140295.295"
1934,forest,,,"1283.94987"
1937,forest,,,"1676.43125"
1939,forest,,,"4672.78772"
1940,forest,,,"223.400313"
1941,forest,,,"3845.73700"
1949,forest,,,"19381.7322"
1951,forest,,,"2963.78161"
1952,forest,,,"4486.13737"
1956,forest,,,"18789.1547"
1957,forest,,,"22.2037650"
1958,forest,,,"2120.19777"
1960,forest,,,"153.039620"
1961,forest,,,"2989.52541"
1962,forest,,,"1887.40341"
1963,forest,,,"71.4319340"
1964,forest,,,"7326.45379"
1966,forest,,,"34319.4551"
1970,forest,,,"1545.58202"
1973,forest,,,"1712.44613"
