region,class,infrastructure_type,area
Harju,forest,branches,5974548.3097211495
Harju,perm,branches,21909.51285128
Harju,natura2000,branches,2529213.9641903704
Harju,forest,cores,151906405.00239074
Harju,perm,cores,6578.368344269999
Harju,natura2000,cores,85345793.85084163
Harju,forest,corridors,112341142.41013911
Harju,perm,corridors,89686.40172202
Harju,natura2000,corridors,53281479.97726238
Hiiu,forest,branches,3444974.73299357
Hiiu,perm,branches,46036.497606339995
Hiiu,natura2000,branches,3698683.71881163
Hiiu,forest,cores,150448300.2650562
Hiiu,perm,cores,19464.869454699998
Hiiu,natura2000,cores,97092169.85653926
Hiiu,forest,corridors,95138770.6906889
Hiiu,perm,corridors,242095.09248921002
Hiiu,natura2000,corridors,47653238.20601081
Ida-Viru,forest,branches,1822041.10193892
Ida-Viru,perm,branches,7520.180311089999
Ida-Viru,natura2000,branches,113403.16455439999
Ida-Viru,forest,cores,21805257.77380552
Ida-Viru,perm,cores,462.58608947
Ida-Viru,natura2000,cores,4170755.66880559
Ida-Viru,forest,corridors,24573187.97320778
Ida-Viru,perm,corridors,25929.62963463
Ida-Viru,natura2000,corridors,5401988.2300217
Laane,forest,branches,2562703.70860107
Laane,perm,branches,40025.721831480005
Laane,natura2000,branches,6585747.9457598
Laane,forest,cores,91403211.5907065
Laane,perm,cores,20271.3911793
Laane,natura2000,cores,99915300.60495108
Laane,forest,corridors,92289150.7654164
Laane,perm,corridors,190638.62036111997
Laane,natura2000,corridors,44384337.8935678
Laane-Viru,forest,branches,1120337.1601448501
Laane-Viru,perm,branches,8004.564089439999
Laane-Viru,natura2000,branches,545480.75736333
Laane-Viru,forest,cores,68886867.33516467
Laane-Viru,perm,cores,3158.11436273
Laane-Viru,natura2000,cores,56405575.02934161
Laane-Viru,forest,corridors,35675851.94497862
Laane-Viru,perm,corridors,52600.082920559995
Laane-Viru,natura2000,corridors,20484529.25867936
Parnu,forest,branches,5161391.06256633
Parnu,perm,branches,60652.28871876
Parnu,natura2000,branches,6171138.71155528
Parnu,forest,cores,83929267.46579722
Parnu,perm,cores,21640.247906440003
Parnu,natura2000,cores,106890014.39101255
Parnu,forest,corridors,83448564.6661674
Parnu,perm,corridors,300055.99399592995
Parnu,natura2000,corridors,64103545.32552715
Saare,forest,branches,8261311.57905869
Saare,perm,branches,267180.97067234
Saare,natura2000,branches,14870503.132818079
Saare,forest,cores,246063122.36382082
Saare,perm,cores,89972.83157895
Saare,natura2000,cores,231648074.01715356
Saare,forest,corridors,241744097.02743092
Saare,perm,corridors,1167480.70706152
Saare,natura2000,corridors,156769269.12059104
