fid,class,natura_cod,status,area,region
71789,forest,,,204.689946,Harju
71850,forest,,,226.622307,Harju
71854,forest,,,8031.80972,Harju
71862,forest,,,8302.3942,Harju
71870,forest,,,306.177633,Harju
71880,forest,,,1071.46698,Harju
71906,forest,,,43328.079,Harju
71940,forest,,,69334.5651,Harju
71944,forest,,,325.324391,Harju
72174,forest,,,615.490014,Harju
72177,forest,,,490.109969,Harju
72182,forest,,,2579.289,Harju
72191,forest,,,256.607719,Harju
72193,forest,,,17998.0736,Harju
72214,forest,,,0.18602085,Harju
72271,forest,,,2263.69608,Harju
72321,forest,,,281.518331,Harju
72345,forest,,,561.334376,Harju
72371,forest,,,1743.21734,Harju
72439,forest,,,1604.63408,Harju
72486,forest,,,329.520705,Harju
72548,forest,,,340.229593,Harju
72558,forest,,,575.918895,Harju
72597,forest,,,2217.19609,Harju
72640,forest,,,421.251884,Harju
72665,forest,,,26795.89,Harju
72680,forest,,,373.456911,Harju
72695,forest,,,1071.77489,Harju
72700,forest,,,18398.9233,Harju
72805,forest,,,218.96649,Harju
72806,forest,,,57557.1299,Harju
72815,forest,,,5352.57058,Harju
72902,forest,,,877.153947,Harju
72941,forest,,,1675.70329,Harju
73123,forest,,,6739.44297,Harju
73188,forest,,,913.769137,Harju
73192,forest,,,2445.26506,Harju
73210,forest,,,373.219389,Harju
73232,forest,,,18160.2818,Harju
73250,forest,,,332.335759,Harju
73305,forest,,,580.976739,Harju
73358,forest,,,3046.40295,Harju
73361,forest,,,1400.11562,Harju
73400,forest,,,4205.85693,Harju
73416,forest,,,1382.78082,Harju
73478,forest,,,473.164351,Harju
73508,forest,,,3046.86964,Harju
73520,forest,,,4656.6696,Harju
73532,forest,,,237.871119,Harju
73566,forest,,,348.135042,Harju
73616,forest,,,916.088096,Harju
73668,forest,,,30478.1594,Harju
73683,forest,,,462.358758,Harju
73759,forest,,,877.625695,Harju
73835,forest,,,644.878833,Harju
73843,forest,,,15443.8195,Harju
73889,forest,,,483.504747,Harju
73906,forest,,,5541.34263,Harju
73929,forest,,,543.88419,Harju
73968,forest,,,1989.75815,Harju
73992,forest,,,10277.8565,Harju
74005,forest,,,209.346968,Harju
74010,forest,,,2151.12831,Harju
74024,forest,,,170.111334,Harju
74053,forest,,,45.6594394,Harju
74245,forest,,,3639.26857,Harju
74276,forest,,,262.62014,Harju
74327,forest,,,699.398743,Harju
74442,forest,,,13690.2363,Harju
74446,forest,,,16513.8654,Harju
74565,forest,,,15542.2754,Harju
74641,forest,,,537.643689,Harju
74648,forest,,,982.770399,Harju
74667,forest,,,509.21267,Harju
74671,forest,,,492.454694,Harju
74686,forest,,,1628.74925,Harju
74767,forest,,,1364.72818,Harju
74785,forest,,,147.114178,Harju
74812,forest,,,416.876797,Harju
75013,forest,,,926.313466,Harju
75038,forest,,,5331.6773,Harju
75054,forest,,,1200.36636,Harju
75057,forest,,,6333.85737,Harju
75068,forest,,,202.211983,Harju
75140,forest,,,3002.80045,Harju
75160,forest,,,108.62579,Harju
75211,forest,,,181.719308,Harju
75218,forest,,,34069.7148,Harju
75246,forest,,,1704.06419,Harju
