fid,class,natura_cod,status,area,region
71791,forest,,,2402.61788,Harju
71811,forest,,,1584.03284,Harju
71850,forest,,,50021.811,Harju
71851,forest,,,4984.77955,Harju
71854,forest,,,4209832.84,Harju
71906,forest,,,498935.868,Harju
71931,forest,,,2358.64473,Harju
72029,forest,,,4829.67847,Harju
72039,forest,,,441.569396,Harju
72097,forest,,,1.0455966,Harju
72113,forest,,,0.10155311,Harju
72184,forest,,,204.366287,Harju
72254,forest,,,9586.15681,Harju
72270,forest,,,107.068724,Harju
72318,forest,,,1677.04783,Harju
72321,forest,,,206688.655,Harju
72358,forest,,,902.305726,Harju
72371,forest,,,487236.775,Harju
72400,forest,,,1152.36734,Harju
72445,forest,,,3341.35115,Harju
72495,forest,,,238665.237,Harju
72589,forest,,,0.73930271,Harju
72606,forest,,,5062.89398,Harju
72665,forest,,,8091500.67,Harju
72710,forest,,,477.520142,Harju
72718,forest,,,1718.60071,Harju
72760,forest,,,1347.36401,Harju
72794,forest,,,108.403128,Harju
72815,forest,,,239037.382,Harju
73130,forest,,,1301.49204,Harju
73143,forest,,,3753.50622,Harju
73156,forest,,,1739.03895,Harju
73332,forest,,,206.891012,Harju
73361,forest,,,585216.207,Harju
73378,forest,,,4124.40319,Harju
73496,forest,,,2828.71024,Harju
73509,forest,,,844.291602,Harju
73519,forest,,,384.626834,Harju
73570,forest,,,231.751997,Harju
73602,forest,,,155.447474,Harju
73610,forest,,,10139.8468,Harju
73705,forest,,,129.336788,Harju
73906,forest,,,19775.2762,Harju
73949,forest,,,1631.94055,Harju
74002,forest,,,283570.314,Harju
74030,forest,,,4476.84046,Harju
74169,forest,,,116879.224,Harju
74249,forest,,,411.981194,Harju
74503,forest,,,10334.0318,Harju
74569,forest,,,4337.76023,Harju
74634,forest,,,7059.01093,Harju
74649,forest,,,705.230386,Harju
74673,forest,,,1771.20034,Harju
74683,forest,,,1263.9581,Harju
74756,forest,,,282.851617,Harju
74930,forest,,,107.923085,Harju
75009,forest,,,2017.82536,Harju
75013,forest,,,9852.38476,Harju
75039,forest,,,117.183397,Harju
75249,forest,,,900.011488,Harju
75393,forest,,,46.4723535,Harju
75456,forest,,,1477.84494,Harju
75719,forest,,,5597512.33,Harju
75871,forest,,,171.944132,Harju
76015,forest,,,2920.29183,Harju
76031,forest,,,690.912161,Harju
76128,forest,,,5714.99256,Harju
76138,forest,,,3948.49941,Harju
76173,forest,,,82491.385,Harju
76303,forest,,,481.281938,Harju
76306,forest,,,1337.01102,Harju
76357,forest,,,197.103213,Harju
76456,forest,,,4242.07259,Harju
76753,forest,,,4099.67763,Harju
76934,forest,,,62.7880678,Harju
77435,forest,,,644.647305,Harju
77438,forest,,,4492.05121,Harju
77439,forest,,,101.62754,Harju
78535,forest,,,351.045215,Harju
78675,forest,,,461.768863,Harju
78709,forest,,,53151.1052,Harju
78788,forest,,,6852.93425,Harju
78790,forest,,,1219.9458,Harju
79021,forest,,,0.69435279,Harju
79040,forest,,,1020.92841,Harju
79116,forest,,,4361.59255,Harju
79240,forest,,,2026.36415,Harju
79274,forest,,,1286.9956,Harju
79311,forest,,,3789780.29,Harju
79527,forest,,,4635168.1,Harju
79712,forest,,,229733.624,Harju
79749,forest,,,52.911325,Harju
79784,forest,,,357061.903,Harju
79806,forest,,,1533.23612,Harju
79810,forest,,,1029.94788,Harju
79814,forest,,,20.6799698,Harju
79852,forest,,,1137257.69,Harju
79879,forest,,,318.260983,Harju
79891,forest,,,44.4257422,Harju
79898,forest,,,4536.84889,Harju
79927,forest,,,194.347121,Harju
79982,forest,,,430.12658,Harju
80011,forest,,,196347.97,Harju
80195,forest,,,1207.88648,Harju
80196,forest,,,26507.5769,Harju
80221,forest,,,1334.81412,Harju
80239,forest,,,16.3063297,Harju
80258,forest,,,2203.71131,Harju
80284,forest,,,1001.14734,Harju
80308,forest,,,274.856919,Harju
80370,forest,,,1490603.56,Harju
80391,forest,,,125.256797,Harju
80396,forest,,,3098.57724,Harju
80723,forest,,,2090.75422,Harju
80751,forest,,,1141.57905,Harju
80838,forest,,,2875.62043,Harju
80881,forest,,,9.97559887,Harju
81054,forest,,,82.2582921,Harju
81060,forest,,,45.220003,Harju
81069,forest,,,9.42539738,Harju
81078,forest,,,1328.72616,Harju
81130,forest,,,973.507113,Harju
81160,forest,,,632.680761,Harju
81229,forest,,,1736.36274,Harju
81252,forest,,,274.229546,Harju
81285,forest,,,1413.37579,Harju
81296,forest,,,371.523476,Harju
81754,forest,,,12566.1051,Harju
81757,forest,,,556057.702,Harju
81794,forest,,,0.10039381,Harju
81804,forest,,,1630.17978,Harju
81865,forest,,,688.232001,Harju
82061,forest,,,9381.40439,Harju
82062,forest,,,1581013.75,Harju
82064,forest,,,310974.25,Harju
82074,forest,,,1291780.72,Harju
82138,forest,,,771.155181,Harju
82243,forest,,,1186.51478,Harju
82245,forest,,,86499.8728,Harju
82246,forest,,,56377.3551,Harju
82341,forest,,,1619971.14,Harju
82343,forest,,,1.07439681,Harju
82344,forest,,,1176257.36,Harju
82353,forest,,,846678.429,Harju
82444,forest,,,955964.263,Harju
82550,forest,,,3358.55971,Harju
82553,forest,,,0.27791216,Harju
82559,forest,,,475881.431,Harju
82599,forest,,,1118025.38,Harju
82679,forest,,,1521065.87,Harju
82710,forest,,,406.372705,Harju
82748,forest,,,7710.52018,Harju
82763,forest,,,1066176.91,Harju
82775,forest,,,3203.59566,Harju
82779,forest,,,346904.974,Harju
82811,forest,,,112644.434,Harju
83178,forest,,,1901888.5,Harju
83180,forest,,,1120891.44,Harju
83269,forest,,,384953.745,Harju
83308,forest,,,2565352.6,Harju
83364,forest,,,8.86073111,Harju
83365,forest,,,713978.276,Harju
83367,forest,,,689388.26,Harju
83368,forest,,,2132108.2,Harju
83369,forest,,,1311104.7,Harju
83370,forest,,,759632.699,Harju
83404,forest,,,1179367.7,Harju
83412,forest,,,916679.61,Harju
83431,forest,,,56.4202081,Harju
83438,forest,,,1784.07073,Harju
83439,forest,,,1183466.92,Harju
83463,forest,,,3.0469263,Harju
83554,forest,,,185237.209,Harju
83635,forest,,,223152.599,Harju
83719,forest,,,996921.109,Harju
83744,forest,,,3732.76303,Harju
83752,forest,,,174651.197,Harju
83757,forest,,,325830.198,Harju
83800,forest,,,889015.975,Harju
83801,forest,,,984824.035,Harju
83802,forest,,,2154440.8,Harju
83810,forest,,,497656.93,Harju
83824,forest,,,374643.388,Harju
83837,forest,,,3423.31214,Harju
83856,forest,,,2942.3025,Harju
83987,forest,,,1749485.38,Harju
84035,forest,,,53386.8954,Harju
84039,forest,,,246311.842,Harju
84053,forest,,,75975.7626,Harju
84267,forest,,,4414056.44,Harju
84268,forest,,,783173.576,Harju
84376,forest,,,5675409.38,Harju
84377,forest,,,3651563.39,Harju
84378,forest,,,1131573.8,Harju
84405,forest,,,102.036945,Harju
84447,forest,,,8095.90114,Harju
84453,forest,,,1220816.96,Harju
84466,forest,,,1025180.55,Harju
84468,forest,,,1473479.16,Harju
84478,forest,,,253369.821,Harju
84493,forest,,,168417.003,Harju
84494,forest,,,204702.151,Harju
84496,forest,,,1017542.58,Harju
84711,perm,,,337.870767,Harju
84799,perm,,,0.2735092,Harju
85063,perm,,,404.62836,Harju
85178,perm,,,207.123773,Harju
85504,perm,,,215.279064,Harju
85509,perm,,,10.5741724,Harju
85576,perm,,,4.09421974,Harju
85580,perm,,,7.11218738,Harju
85678,perm,,,55.5469724,Harju
85890,perm,,,454.628829,Harju
85932,perm,,,1.84858781,Harju
85978,perm,,,45.8427775,Harju
86008,perm,,,458.915681,Harju
86022,perm,,,172.778385,Harju
86042,perm,,,49.8259764,Harju
86046,perm,,,32.8642545,Harju
86082,perm,,,0.03434168,Harju
86083,perm,,,1.49154458,Harju
86087,perm,,,126.961929,Harju
86090,perm,,,0.36696448,Harju
86123,perm,,,104.861629,Harju
86356,perm,,,280.428738,Harju
86593,perm,,,282.175,Harju
86608,perm,,,58.1201638,Harju
86685,perm,,,195.955086,Harju
87008,perm,,,335.464348,Harju
87029,perm,,,1.28921073,Harju
87038,perm,,,11.22369,Harju
89488,perm,,,35.2597483,Harju
89489,perm,,,2.6126948,Harju
91646,natura2000,6510,I,1.48540269,Harju
91649,natura2000,6510,I,3.58039634,Harju
91655,natura2000,2180,III,54315.5511,Harju
91660,natura2000,2130*,II,57687.6987,Harju
91661,natura2000,2130*,II,21149.3488,Harju
91662,natura2000,1230,I,18.8573789,Harju
91664,natura2000,9080*,I,18.6822216,Harju
91665,natura2000,2180,III,4206.10297,Harju
91668,natura2000,2180,III,6745.05697,Harju
91671,natura2000,9010*,II,683209.143,Harju
91672,natura2000,9010*,II,242119.786,Harju
91673,natura2000,9010*,II,14424.0434,Harju
91674,natura2000,9010*,II,10741.0393,Harju
91675,natura2000,9010*,II,6829.39131,Harju
91676,natura2000,9010*,II,2499.48249,Harju
91677,natura2000,7230,I,81.0690999,Harju
91678,natura2000,7230,I,336.601648,Harju
91679,natura2000,7230,I,18.2992773,Harju
91680,natura2000,7230,I,18.7316521,Harju
91681,natura2000,7230,I,4.8202374,Harju
91682,natura2000,7230,I,37.9969623,Harju
91683,natura2000,7230,I,299.57531,Harju
91684,natura2000,7230,I,187.471984,Harju
91685,natura2000,91D0*,I,121181.064,Harju
91686,natura2000,91D0*,I,84574.276,Harju
91687,natura2000,91D0*,I,19808.0376,Harju
91688,natura2000,9080*,III,75003.9513,Harju
91708,natura2000,1210,I,8797.49287,Harju
91709,natura2000,6280*,I,8595.09892,Harju
