fid,class,natura_cod,status,area,region
71789,forest,,,102.308917,Harju
71791,forest,,,2700.39919,Harju
71792,forest,,,34576.5331,Harju
71799,forest,,,8819.68438,Harju
71800,forest,,,253.011009,Harju
71801,forest,,,78.761011,Harju
71811,forest,,,1026.29038,Harju
71850,forest,,,207283.761,Harju
71851,forest,,,514260.933,Harju
71854,forest,,,421784.335,Harju
71855,forest,,,999.178635,Harju
71862,forest,,,36314.2863,Harju
71886,forest,,,4279.11769,Harju
71887,forest,,,3022.8794,Harju
71892,forest,,,1342.39276,Harju
71897,forest,,,1101.52228,Harju
71906,forest,,,537933.395,Harju
71909,forest,,,276.519526,Harju
71931,forest,,,70.789866,Harju
71940,forest,,,141934.247,Harju
71956,forest,,,18797.3614,Harju
72007,forest,,,259.785566,Harju
72015,forest,,,1727.20011,Harju
72022,forest,,,13556.4507,Harju
72025,forest,,,3382.05671,Harju
72029,forest,,,30489.48,Harju
72039,forest,,,107244.089,Harju
72053,forest,,,428.525418,Harju
72077,forest,,,1912.97013,Harju
72091,forest,,,343.821216,Harju
72094,forest,,,531.263826,Harju
72096,forest,,,305.614083,Harju
72105,forest,,,1869.10384,Harju
72113,forest,,,0.77569204,Harju
72115,forest,,,51197.4547,Harju
72132,forest,,,3.49331831,Harju
72136,forest,,,6.63260001,Harju
72154,forest,,,967.44183,Harju
72174,forest,,,1238.71535,Harju
72182,forest,,,248.846489,Harju
72184,forest,,,15970.0359,Harju
72191,forest,,,900.439161,Harju
72210,forest,,,10815.3987,Harju
72214,forest,,,211.495673,Harju
72229,forest,,,6355.83326,Harju
72233,forest,,,789.454399,Harju
72239,forest,,,1944.08973,Harju
72254,forest,,,10966.1112,Harju
72271,forest,,,3068.90555,Harju
72277,forest,,,305.604648,Harju
72307,forest,,,0.01861427,Harju
72321,forest,,,32848.4533,Harju
72325,forest,,,1234.34091,Harju
72335,forest,,,5074.91271,Harju
72342,forest,,,473.256026,Harju
72344,forest,,,59118.0068,Harju
72345,forest,,,1314.54338,Harju
72365,forest,,,2875.9144,Harju
72371,forest,,,86499.1047,Harju
72389,forest,,,5120.39214,Harju
72398,forest,,,4598.42699,Harju
72406,forest,,,4014.571,Harju
72431,forest,,,107155.281,Harju
72458,forest,,,4137.863,Harju
72464,forest,,,2332.64523,Harju
72469,forest,,,2901.9519,Harju
72495,forest,,,79444.6136,Harju
72501,forest,,,1834.70076,Harju
72549,forest,,,756.597635,Harju
72567,forest,,,1663.27099,Harju
72586,forest,,,4348.4135,Harju
72591,forest,,,15947.1405,Harju
72603,forest,,,6667.08205,Harju
72606,forest,,,857.4912,Harju
72609,forest,,,4814.51373,Harju
72634,forest,,,13471.2871,Harju
72665,forest,,,2046616.93,Harju
72680,forest,,,6223.04049,Harju
72700,forest,,,1368.34703,Harju
72724,forest,,,1960.83065,Harju
72739,forest,,,496.523738,Harju
72746,forest,,,196.921885,Harju
72760,forest,,,347.968994,Harju
72764,forest,,,365.756665,Harju
72767,forest,,,2373.22075,Harju
72785,forest,,,17552.1062,Harju
72786,forest,,,8870.78704,Harju
72794,forest,,,10604.2806,Harju
72801,forest,,,1201.22874,Harju
72803,forest,,,1024.3489,Harju
72805,forest,,,2702.53285,Harju
72815,forest,,,78700.0478,Harju
72836,forest,,,142.632357,Harju
72863,forest,,,4736.93074,Harju
72932,forest,,,4145.46642,Harju
72941,forest,,,1215.70719,Harju
72943,forest,,,6274.78408,Harju
72973,forest,,,6447.87039,Harju
72992,forest,,,279.959445,Harju
72993,forest,,,10275.1081,Harju
73051,forest,,,931.00222,Harju
73066,forest,,,675.771755,Harju
73075,forest,,,2235.23856,Harju
73079,forest,,,37542.2757,Harju
73092,forest,,,2928.00518,Harju
73109,forest,,,997.57324,Harju
73110,forest,,,4049.76503,Harju
73116,forest,,,400.144852,Harju
73120,forest,,,18836.3032,Harju
73123,forest,,,10721.8675,Harju
73137,forest,,,7.36236247,Harju
73154,forest,,,527.962302,Harju
73155,forest,,,2981.30202,Harju
73156,forest,,,510.340579,Harju
73157,forest,,,19289.366,Harju
73161,forest,,,1895.57416,Harju
73186,forest,,,1764.27062,Harju
73191,forest,,,638.935772,Harju
73192,forest,,,254.298556,Harju
73202,forest,,,7085.35298,Harju
73226,forest,,,6763.61776,Harju
73232,forest,,,71978.0259,Harju
73240,forest,,,4972.11912,Harju
73242,forest,,,170.062205,Harju
73258,forest,,,6337.6518,Harju
73273,forest,,,503.057854,Harju
73294,forest,,,15860.4306,Harju
73305,forest,,,84239.1907,Harju
73332,forest,,,396.814527,Harju
73340,forest,,,2926.96831,Harju
73354,forest,,,9159.03318,Harju
73358,forest,,,3442.84056,Harju
73361,forest,,,141249.026,Harju
73363,forest,,,117.320949,Harju
73367,forest,,,1376.14807,Harju
73372,forest,,,124259.806,Harju
73375,forest,,,1537.43889,Harju
73378,forest,,,838.369067,Harju
73380,forest,,,3187.47598,Harju
73392,forest,,,11269.3982,Harju
73403,forest,,,33351.3391,Harju
73415,forest,,,14.0336564,Harju
73432,forest,,,7567.85656,Harju
73473,forest,,,2630.71386,Harju
73489,forest,,,984.772395,Harju
73491,forest,,,3763.08794,Harju
73496,forest,,,1288.28126,Harju
73505,forest,,,5768.11703,Harju
73515,forest,,,38.3805875,Harju
73519,forest,,,1061.36629,Harju
73532,forest,,,6022.57927,Harju
73534,forest,,,793.186785,Harju
73549,forest,,,1826.3478,Harju
73550,forest,,,2592.11364,Harju
73557,forest,,,806.375773,Harju
73570,forest,,,12111.7725,Harju
73571,forest,,,884.438469,Harju
73592,forest,,,3139.84431,Harju
73601,forest,,,6286.3328,Harju
73612,forest,,,1324.2188,Harju
73628,forest,,,7979.48515,Harju
73640,forest,,,843.765844,Harju
73643,forest,,,7535.91327,Harju
73651,forest,,,531.334615,Harju
73661,forest,,,13.0655459,Harju
73662,forest,,,1220.82585,Harju
73683,forest,,,16314.7979,Harju
73703,forest,,,494.396076,Harju
73712,forest,,,3319.58895,Harju
73718,forest,,,1367.03526,Harju
73759,forest,,,31560.8672,Harju
73785,forest,,,530.683304,Harju
73787,forest,,,84558.7761,Harju
73793,forest,,,5464.64037,Harju
73813,forest,,,2983.16586,Harju
73822,forest,,,921.651688,Harju
73833,forest,,,217.730254,Harju
73835,forest,,,191.323867,Harju
73836,forest,,,2963.87924,Harju
73843,forest,,,26516.5036,Harju
73847,forest,,,1499.0003,Harju
73848,forest,,,13968.3285,Harju
73875,forest,,,287.862396,Harju
73877,forest,,,1852.1855,Harju
73904,forest,,,214.411031,Harju
73925,forest,,,1325.55759,Harju
73941,forest,,,93.5698966,Harju
73942,forest,,,3634.71861,Harju
73943,forest,,,23196.0665,Harju
73965,forest,,,448.858388,Harju
73966,forest,,,3368.72625,Harju
73984,forest,,,1304.03541,Harju
74002,forest,,,328724.491,Harju
74005,forest,,,295.971672,Harju
74010,forest,,,1361.84657,Harju
74024,forest,,,23292.5813,Harju
74026,forest,,,5835.88679,Harju
74030,forest,,,14.4817199,Harju
74053,forest,,,17408.5112,Harju
74066,forest,,,654.999488,Harju
74069,forest,,,6968.16515,Harju
74108,forest,,,6398.06046,Harju
74109,forest,,,10723.4898,Harju
74126,forest,,,4234.74152,Harju
74131,forest,,,1622.85321,Harju
74149,forest,,,3044.17673,Harju
74150,forest,,,3737.76255,Harju
74164,forest,,,8723.22252,Harju
74165,forest,,,3705.94162,Harju
74169,forest,,,73086.5965,Harju
74172,forest,,,1582.3491,Harju
74187,forest,,,611.148841,Harju
74231,forest,,,390.434293,Harju
74275,forest,,,17115.2598,Harju
74307,forest,,,463.869421,Harju
74318,forest,,,3692.96412,Harju
74348,forest,,,649.276311,Harju
74368,forest,,,3692.54453,Harju
74411,forest,,,884.539381,Harju
74433,forest,,,1731.81594,Harju
74442,forest,,,3937.52919,Harju
74446,forest,,,215.706851,Harju
74466,forest,,,19217.3172,Harju
74467,forest,,,1271.6482,Harju
74470,forest,,,44.1600533,Harju
74482,forest,,,10732.8072,Harju
74490,forest,,,1175.5933,Harju
74503,forest,,,37558.2858,Harju
74565,forest,,,96072.7445,Harju
74566,forest,,,4090.34212,Harju
74569,forest,,,67751.3543,Harju
74580,forest,,,3981.00242,Harju
74609,forest,,,37142.6873,Harju
74634,forest,,,836.308726,Harju
74667,forest,,,0.61590011,Harju
74671,forest,,,537.372876,Harju
74692,forest,,,212.433847,Harju
74714,forest,,,2263.24232,Harju
74715,forest,,,8873.07269,Harju
74717,forest,,,302.958117,Harju
74718,forest,,,2548.06195,Harju
74724,forest,,,1550.12309,Harju
74725,forest,,,989.909367,Harju
74735,forest,,,7395.9632,Harju
74743,forest,,,1772.28419,Harju
74774,forest,,,3219.30483,Harju
74783,forest,,,558.956513,Harju
74785,forest,,,5704.47044,Harju
74799,forest,,,5109.59647,Harju
74802,forest,,,1027.0246,Harju
74812,forest,,,706168.997,Harju
74819,forest,,,213520.294,Harju
74820,forest,,,964.296341,Harju
74831,forest,,,7124.35874,Harju
74834,forest,,,235516.925,Harju
74842,forest,,,546.124707,Harju
74864,forest,,,93.5726751,Harju
74896,forest,,,10065.249,Harju
74897,forest,,,6365.36113,Harju
74898,forest,,,1191.85274,Harju
74909,forest,,,1082.75953,Harju
74930,forest,,,1092.72825,Harju
74932,forest,,,2037.603,Harju
74948,forest,,,556.677078,Harju
74953,forest,,,2017.15496,Harju
74973,forest,,,203.448811,Harju
74982,forest,,,7260.66814,Harju
74983,forest,,,1680.7415,Harju
74991,forest,,,427.009608,Harju
75001,forest,,,583.571496,Harju
75003,forest,,,35.9043687,Harju
75013,forest,,,1075.00842,Harju
75038,forest,,,14232.9015,Harju
75039,forest,,,2326.08607,Harju
75060,forest,,,66.9998022,Harju
75068,forest,,,936.16502,Harju
75077,forest,,,16397.176,Harju
75085,forest,,,427.071961,Harju
75130,forest,,,3209.17231,Harju
75151,forest,,,22839.9576,Harju
75160,forest,,,199.266972,Harju
75164,forest,,,729.870891,Harju
75182,forest,,,1864.87414,Harju
75185,forest,,,2981.79692,Harju
75196,forest,,,6267.78663,Harju
75198,forest,,,379.827995,Harju
75217,forest,,,951.89901,Harju
75218,forest,,,18950.7151,Harju
75234,forest,,,2179.7353,Harju
75245,forest,,,326.443719,Harju
75268,forest,,,13507.0779,Harju
75300,forest,,,2128.38681,Harju
75303,forest,,,2905.85063,Harju
75314,forest,,,1117.60049,Harju
75322,forest,,,8338.97292,Harju
75329,forest,,,2565.61538,Harju
75341,forest,,,14319.202,Harju
75344,forest,,,789.420965,Harju
75359,forest,,,1033.58707,Harju
75365,forest,,,8899.83838,Harju
75393,forest,,,8264.04429,Harju
75466,forest,,,2591.01215,Harju
75489,forest,,,244.218292,Harju
75529,forest,,,13934.3663,Harju
75540,forest,,,41631.0801,Harju
75544,forest,,,15089.8767,Harju
75555,forest,,,2208.43265,Harju
75579,forest,,,920.565112,Harju
75580,forest,,,187.999826,Harju
75602,forest,,,3136.12633,Harju
75642,forest,,,4117.59794,Harju
75683,forest,,,5532.64894,Harju
75684,forest,,,46.310347,Harju
75697,forest,,,3240.56663,Harju
75699,forest,,,19346.6153,Harju
75719,forest,,,1872843.68,Harju
75725,forest,,,216.905925,Harju
75773,forest,,,2508.85458,Harju
75775,forest,,,8256.18926,Harju
75779,forest,,,523.483727,Harju
75782,forest,,,8859.66234,Harju
